ticket_id,description,category,priority
TCK-0032,I would like to know the procedure to apply for a change of campus from Khanpur Campus to another campus. Roll No: F22BBDATS4M9725,Other,Medium
TCK-0033,"My profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office tomorrow morning. Please fix this urgently. Roll No: S22BBDATS7M8564",Profile Update,Critical
TCK-0034,Kindly tell me the fee structure for MBA.,Fee & Challan,Low
TCK-0035,Please issue my No Objection Certificate (NOC) for a part-time teaching engagement outside the university.,Employee Services,Medium
TCK-0036,Sir I submitted my degree application form but have not received any confirmation email. Please confirm receipt. Roll No: F20BPHD6M2876,Degree,Medium
TCK-0037,"The result was announced on 1 july, i improved 3 subjects, Artificial intelligence, Architecture and FYP-I However Ai and Architecture have been verified/acknowledged on my transcript But FYP-I is yet to be verified and It’s been many days. I have been awarded a scholarship so i need an original transcript. Which i can’t get until my result is acknowledged Kindly please check and help me i am very stressed Name: Aadil Ali - Roll Number / Registration Number: S22BDOCS1M01022 - Department: BS Computer Science - Session: Spring 2022",Result,High
TCK-0038,"I need an official letter of recommendation urgently for a scholarship application closing in two days, and my department has not responded to my request submitted a few days ago. Roll No: S23BLLB1M6129",Other,High
TCK-0039,My uploaded documents keep failing to upload with a generic 'error' message on the portal. Roll No: F21BBDATS2M3847,Portal Technical Issue,Medium
TCK-0040,Sir mera transcript voucher pay ho chuka hai lekin portal pr abi tak show nahi ho raha. Roll no F21BBSCS4M2584. Kindly check kr dein.,Transcript,Medium
TCK-0041,"Our whole department's final semester result system is showing 'no data found' for every student, blocking all of us from applying for graduation clearance before tomorrow's deadline. BS Software Engineering, Baghdad-ul-Jadeed Campus",Result,Critical
TCK-0042,Kindly update my bank account details in the payroll system as my old account has been closed.,Employee Services,Medium
TCK-0043,"I am filing an urgent complaint that my degree, required tomorrow for a visa interview, has been stuck for about a week due to what appears to be an internal miscommunication between two offices, neither of which will take responsibility. Roll No: F22BMPHIL6M7566",Complaint,Critical
TCK-0044,I would like to know the procedure to apply for a change of campus from Khanpur Campus to another campus. Roll No: F24BBAGRI7M9394,Other,Medium
TCK-0045,"Subject: Request for Re-Generation of Degree Fee Challan under Spouse Quota Respected Sir, It is respectfully submitted that, as per the attached certificate, I am eligible to avail the Spouse Quota concession for the payment of the Normal Degree Fee. However, a degree fee challan amounting to Rs. 5,000/- has already been generated on my IUB E-Portal against my CNIC No. 31202-1108025-4 under the normal category instead of the applicable spouse quota. It is, therefore, requested that the already generated challan may kindly be cancelled, and the concerned Challan Generation Section may be directed to re-generate the degree fee challan in accordance with the Spouse Quota, as supported by the enclosed certificate. Your kind consideration and early action in this matter shall be highly appreciated. SHAHIDA SHAHEEN MPHIL SOFTWARE ENGINEERING SESSION (2022-2024)",Fee & Challan,Medium
TCK-0046,Just want to know if past exam papers are available for practice.,Examination,Low
TCK-0047,Is there a sports scholarship available for BS Mathematics students?,Scholarship,Low
TCK-0048,"The fire alarm system across the Rahim Yar Khan Campus hostel block has stopped working entirely, posing a serious safety risk to all resident students. Immediate repair is requested.",Infrastructure / Maintenance,Critical
TCK-0049,"My transcript request submitted on 28 July 2026 is still pending. Roll Number: S25BBPESS7M1106, BS Mathematics. Kindly update the status.",Transcript,Medium
TCK-0050,What is the required word count for the thesis final draft?,Thesis,Low
TCK-0051,I would like to request a review of my examination papers as my marks appear lower than expected across almost every subject. Roll No: S23BBDOCS2M7284,Examination,Medium
TCK-0052,"Sir, meri dairy technonlogy subject mn supply hai in 6th semester..lekin Course Repeat Challan mein subject show nahi ho raha aur na hi My Fee Vouchers mein challan aaya hai. Kindly portal par subject show karwadein taake mein fee jama karwa sakoon.""",Course Registration,High
TCK-0053,How can I download my transcript from MyIUB portal?,Transcript,Low
TCK-0054,I need my Enrollment Certificate for a scheme application. Kindly issue it as soon as possible. Roll No: F20BBPESS7M8222,Certificate / Verification,Medium
TCK-0055,"Dear Sir/Madam, I applied for urgent degree of BS Mathematics and paid the urgent processing challan over a month ago, but the status still shows pending review. I need it for a job offer that requires original degree verification soon. Roll No: F22BBDATS6M8787, Name: Mariam Shafiq",Degree,High
TCK-0056,"My profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office tomorrow morning. Please fix this urgently. Roll No: S22BMPHIL5M1444",Profile Update,Critical
TCK-0057,I would like to know how to request access to the university's research paper database off-campus. Roll No: F25BBELEN1M5640,Other,Medium
TCK-0058,Please reverse my submitted clearance form as I mistakenly applied while I still have one pending supply exam. Roll No: S23BBMEDS6M4501,Clearance,Medium
TCK-0059,"Sir mera account login nahi ho raha, password reset bhi kaam nahi kar raha. Roll no S24BBECON3M8434.",Account & Login,Medium
TCK-0060,Just wanted to know the required documents for admission application.,Admission,Low
TCK-0061,When does the admission form submission open for Fall 2026?,Admission,Low
TCK-0062,"This is a critical complaint that despite an official refund approval on record for Rs. 5,000, the accounts office has still not released the funds, and I am unable to pay today's non-negotiable admission deadline fee without it.",Complaint,Critical
TCK-0063,"I have been awarded the HEC Need-Based Scholarship (Phase 3) shown on my portal, but I have not received any update on the disbursement schedule. Roll No: S24BBDATS3M5616",Scholarship,Medium
TCK-0064,Complaint regarding repeated delays in reply from the accounts office despite multiple emails sent over more than 20 days.,Complaint,Medium
TCK-0065,Kindly confirm whether my thesis proposal has been forwarded to the board for approval. Roll No: F20BLLB7M8622,Thesis,Medium
TCK-0066,"I am filing a complaint regarding the complete lack of response from the IT department to my repeated requests to unblock my account, now affecting my ability to submit an assignment due this week.",Complaint,High
TCK-0067,"I am escalating my complaint as my previous three tickets on the same unresolved degree issue were closed without any action, and the matter remains urgent. Roll No: S24BBSEEN5M6400",Complaint,High
TCK-0068,Just wanted to confirm if results are usually delayed at IUB.,Result,Low
TCK-0069,Kya open merit list already declare ho chuki hai is saal ki?,Admission,Low
TCK-0070,Please confirm whether my admission documents (matric and intermediate certificates) were successfully received.,Admission,Medium
TCK-0071,"Subject: Complaint Regarding Delay in Urgent Degree Processing Dear Sir/Madam, I am writing to formally raise a complaint regarding the delay in processing my Urgent Degree Application. My application details are as follows: Application No.: 26389 Name: Zulqarnain Ali Roll No.: F22BDATS1M02038 Registration No.: BS-F22B-DATS-M2038 Program: BS Data Science Apply Type: Urgent Application Date: 04 July 2026 Challan Status: Paid It has now been more than 20 days since I submitted my urgent degree application, yet the status is still showing as Pending. I specifically applied under the urgent category and completed all required formalities, including payment, with the expectation that the process would be completed within the promised timeframe. The delay is causing significant difficulties because I need my degree documents to apply for higher studies abroad, where application deadlines are approaching. I kindly request you to investigate the reason for the delay and process my urgent degree application as soon as possible. I would appreciate an update on the current status of my application and an expected completion date. Thank you for your attention. I look forward to your prompt response. Sincerely, Zulqarnain Ali BS Data Science Roll No: F22BDATS1M02038 Application No: 26389",Degree,High
TCK-0072,My semester fee payment deadline is today and the challan generation option has completely disappeared from my portal since this morning; I risk being dropped from the semester if I cannot pay today. Roll No: F25BLLB1M5002,Fee & Challan,Critical
TCK-0073,"My transcript request submitted on 25 July 2026 is still pending. Roll Number: F25BBPESS2M4527, BS Mathematics. Kindly update the status.",Transcript,Medium
TCK-0074,"I need an official letter of recommendation urgently for a scholarship application closing in two days, and my department has not responded to my request submitted a few days ago. Roll No: S22BBSEEN3M3815",Other,High
TCK-0075,Kindly guide me on the process to apply for a bonafide certificate for my sibling's visa sponsorship documents. Roll No: F23BBPESS2M3248,Other,Medium
TCK-0076,My vocher already paid my transcript is not show,Transcript,Medium
TCK-0077,My semester fee payment deadline is today and the challan generation option has completely disappeared from my portal since this morning; I risk being dropped from the semester if I cannot pay today. Roll No: S23BMPHIL5M2638,Fee & Challan,Critical
TCK-0078,"I paid my semester fee of Rs. 22,000 via JazzCash on 14 July 2026 and the amount has been deducted from my account, but the portal still shows the challan as 'Expired'/'Pending'. Kindly verify from the bank ledger urgently. Roll No: S22BBSCS5M5033",Fee & Challan,High
TCK-0079,I urgently need guidance on the credit transfer process as my enrollment at another institution depends on this being resolved before their deadline this week. Roll No: S22BBSMATH1M4986,Other,High
TCK-0080,"I keep getting logged out mid-way while filling a long form on the portal, losing all my entered data. Roll No: F21BBDATS1M7693",Portal Technical Issue,Medium
TCK-0081,Just wanted to know when scholarship applications open for new batch.,Scholarship,Low
TCK-0082,Is the result declaration date fixed yet for this semester?,Result,Low
TCK-0083,My account has been hacked and someone changed my password and email; I no longer have any access and my degree application deadline is today. Please help immediately. Roll No: F21BBSMATH1M5658,Account & Login,Critical
TCK-0084,"My Turnitin account was blocked after being used by mistake by another department colleague, and despite raising a complaint, it is still blocked, preventing me from completing my own assigned work. Kindly restore urgently.",Account & Login,High
TCK-0085,"My registration hold has still not been cleared despite clearing all dues two weeks ago, and today is the absolute last day to register, after which I will lose the semester entirely. Roll No: S23BBSCS1M4920",Course Registration,Critical
TCK-0086,"It has been over a month since I completed my graduation, yet I have not received my degree despite paying all dues. This is causing significant difficulty for my employment process. Roll No: F23BMBA3M7537",Degree,High
TCK-0087,My admission at a foreign university will be cancelled if I do not submit my original degree by tomorrow. I have already paid all urgent fees. Kindly help immediately. Roll No: F20BMPHIL5M4770,Degree,Critical
TCK-0088,"My character certificate request, urgently needed for a visa application this week, has not been processed despite submitting it over a month ago. Roll No: F25BBSCS7M7464",Certificate / Verification,High
TCK-0089,"My name on my degree does not match my CNIC due to a typo, and this mismatch is now blocking my HEC attestation submission which has a deadline this week. Roll No: S24BPHD3M1207",Name Correction,High
TCK-0090,My examination admit card is missing and my paper is scheduled for tomorrow morning; without it I may not be allowed to sit the exam. Roll No: F22BBSCS4M5342,Examination,High
TCK-0091,"My entire class's clearance requests have been frozen due to a system error, blocking all of us from collecting our degrees before tomorrow's convocation deadline. LLB (5 Years)",Clearance,Critical
TCK-0092,who to change my iub account name,Account & Login,Low
TCK-0093,There is a spelling mistake in my name on my student email and portal record; my correct name is Areeba Malik. Kindly correct as soon as possible. Roll No: F21BMPHIL1M6111,Name Correction,Medium
TCK-0094,"Respected Sir, I have paid the transcript fee (18,750 Rs.) but my transcript is still not showing on the MyIUB portal. Roll No: F23BMBA6M9928. Kindly resolve. Regards, Junaid Aslam",Transcript,Medium
TCK-0095,How can I request my monthly payslip copy for record purposes?,Employee Services,Low
TCK-0096,"Subject: Request for Urgent Degree Issuance Dear Sir/Madam, I have already applied for my degree and paid the required fee/challan. However, my application is still under review. It has been two years since I completed my graduation, and I have neither received my degree nor any confirmation from the university. I kindly request you to process my application on an urgent basis and issue my degree as soon as possible, as I need it urgently for official purposes. Thank you for your consideration.",Degree,High
TCK-0097,"When I open the myIUB app and navigate to the Result section, it appears empty and does not load any data. Kindly resolve. Roll No: F22BBSIT5M5978",Portal Technical Issue,Medium
TCK-0098,"My degree verification request from a foreign employer has been pending response from the university for over a month, and my job offer is contingent on this verification being completed soon. Roll No: S22BBSMATH6M7086",Certificate / Verification,High
TCK-0099,My admission test result has not been uploaded on the portal though the test was conducted two weeks ago.,Admission,Medium
TCK-0100,Please confirm if my course load this semester meets the minimum credit hour requirement. Roll No: S25BBSEEN7M5415,Course Registration,Medium
TCK-0101,"It is respectfully submitted that the telephone line of the Department of Agronomy, Rahim Yar Khan Campus (Phone No. 069-6455706) is not functioning, and this is adversely affecting the ongoing admission campaign as applicants cannot reach us. Kindly repair urgently.",Infrastructure / Maintenance,High
TCK-0102,"This is an urgent request: my medical emergency leave approval is required today, otherwise I will be marked absent for a critical examination happening in two hours. Roll No: F23BLLB7M6724",Other,Critical
TCK-0103,"My admission has been put on hold because my HEC equivalence certificate has not been verified yet, and classes for MBA start this week. Kindly expedite verification urgently.",Admission,High
TCK-0104,"I have a supply in Thermodynamics but the Course Repeat option does not show this subject on my portal, nor has a challan been generated. Kindly enable it. Roll No: S22BPHD7M9056",Course Registration,Medium
TCK-0105,"I have completed my degree of PhD in Management Sciences from IUB and applied for degree attestation but HEC has raised some observations over my degree attestation. They have advised to select the option Doctor of Philosophy in management Sciences and if not availbe then contact PQR Focal Person of the University. The said option is not available on portal of HEC and a similar option ""Doctor of Philosophy (PhD) in Management Sciences"" is available but HEC has not been accepting it due to abbreviation available therein. It is, therefore, requested to add new degree title ""Doctor of Philosophy in Management Sciences"" on PQR so that i may proceed with attestation of degree, please.",Certificate / Verification,High
TCK-0106,"My repeat subject fee challan has not been generated even though the subject is showing on my result as failed, and course registration closes in two days. Roll No: F24BBECON1M7622",Course Registration,High
TCK-0107,I would like to know the procedure to apply for a change of campus from Rahim Yar Khan Campus to another campus. Roll No: F20BBAGRI4M1897,Other,Medium
TCK-0108,Complaint regarding repeated delays in reply from the accounts office despite multiple emails sent over nearly two months.,Complaint,Medium
TCK-0109,"It is respectfully submitted that the telephone line of the Department of Physical Education & Sports Sciences, Khanpur Campus (Phone No. 066-2811298) is not functioning, and this is adversely affecting the ongoing admission campaign as applicants cannot reach us. Kindly repair urgently.",Infrastructure / Maintenance,High
TCK-0110,"The fee payment gateway on the portal is throwing a fatal error for every student today, which is the last date for semester fee submission without penalty.",Portal Technical Issue,Critical
TCK-0111,"The paint on the corridor walls near the library is peeling, just reporting.",Infrastructure / Maintenance,Low
TCK-0112,I have applied for adjustment of MS allowance arrears against an excess amount deducted from my salary. Kindly confirm if any further information is required. Contact: 0348678896,Employee Services,Medium
TCK-0113,"My MyIUB account has been completely locked for two weeks after a failed password reset, and I am unable to submit my thesis-related forms before the deadline this week. Roll No: F20BBSEEN5M5786",Account & Login,High
TCK-0114,Sir I submitted my degree application form but have not received any confirmation email. Please confirm receipt. Roll No: S25BBAGRI2M7126,Degree,Medium
TCK-0115,What is the last date for semester fee submission this term?,Fee & Challan,Low
TCK-0116,My registered course list is missing one elective that I selected during registration week. Roll No: S24BBSEEN4M2442,Course Registration,Medium
TCK-0117,I need to update my CNIC number on my submitted admission application form; the system does not allow edits. Please assist.,Admission,Medium
TCK-0118,"This is an urgent complaint that my case file appears to have been lost by the Directorate of Academics, with no record found of my clearance submission from nearly two months ago. Roll No: F24BBSEEN2M5477",Complaint,High
TCK-0119,How can I add my LinkedIn profile link to my MyIUB profile?,Profile Update,Low
TCK-0120,"Just want to know the normal degree processing time, thanks.",Degree,Low
TCK-0121,"Result kab tak ayega, please batayen.",Result,Low
TCK-0122,Please regenerate my hostel fee challan as the amount shown is incorrect. Roll No: F22BBAGRI3M4566,Fee & Challan,Medium
TCK-0123,"It is respectfully submitted that the telephone line of the Institute of Chemistry, Baghdad-ul-Jadeed Campus (Phone No. 062-9255473) is not functioning properly. As the admission campaign is currently in progress, many prospective students and their parents are unable to contact the Institute for admission-related information. This communication issue is adversely affecting the admission process and causing inconvenience to applicants. It is, therefore, requested that the above-mentioned telephone line may kindly be repaired on an urgent basis to ensure uninterrupted communication and facilitate the ongoing admission campaign. Your prompt attention and necessary action in this matter will be highly appreciated. Naveed Iqbal Senior Clerk Institute of Chemistry The Islamia University of Bahawalpur, Baghdad-ul-Jadeed Campus",Infrastructure / Maintenance,High
TCK-0124,I have applied for adjustment of MS allowance arrears against an excess amount deducted from my salary. Kindly confirm if any further information is required. Contact: 0355684858,Employee Services,Medium
TCK-0125,"The entire clearance module of the portal has been throwing a server error for two days, and I cannot proceed with a time-sensitive task because of it. Roll No: F23BLLB3M4241",Portal Technical Issue,High
TCK-0126,I want my transcript With Marks,Transcript,Medium
TCK-0127,Just wanted to confirm the examination fee amount for this term.,Examination,Low
TCK-0128,"I keep getting logged out mid-way while filling a long form on the portal, losing all my entered data. Roll No: S25BBSIT5M4697",Portal Technical Issue,Medium
TCK-0129,I need my Enrollment Certificate for a scheme application. Kindly issue it as soon as possible. Roll No: F24BBECON6M7807,Certificate / Verification,Medium
TCK-0130,My HEC degree attestation application is currently stuck at 'Submitted by UFP' status and is pending online verification from the university for more than 20 days. HEC cannot proceed without this verification. Roll No: F21BBDATS7M4696,Certificate / Verification,High
TCK-0131,My registered course list is missing one elective that I selected during registration week. Roll No: S24BPHD4M5557,Course Registration,Medium
TCK-0132,"This is a critical complaint regarding the complete non-responsiveness of the Examination department for over a month on a result discrepancy that is currently blocking my scholarship renewal deadline, which is today.",Complaint,Critical
TCK-0133,Just wanted to know the turnaround time for certificate issuance.,Certificate / Verification,Low
TCK-0134,Kindly guide me on the renewal process for my scholarship for the upcoming semester. Roll No: F21BLLB2M5333,Scholarship,Medium
TCK-0135,Perfect time show the result . And not late the result,Result,Low
TCK-0136,Where can I change my account password?,Account & Login,Low
TCK-0137,"HEC verification of my scholarship documents is still pending after a few days, delaying my entire disbursement while my semester fee due date is approaching fast. Roll No: F25BBSIT5M7658",Scholarship,High
TCK-0138,Just want to know if certificate attestation is done on-campus or needs to go to HEC directly.,Certificate / Verification,Low
TCK-0139,Kindly help me drop a course I mistakenly registered for this semester. Roll No: S22BBECON3M2713,Course Registration,Medium
TCK-0140,I have already submitted my thesis but am unable to check the current status on the MyIUB portal because it shows 'Registration Number is missing'. Kindly update. Roll No: F21BBMEDS2M5906,Thesis,Medium
TCK-0141,"REQUEST TO ADD MS DEGREE IN MY PERSONAL PROFILE Dear Sir, It is respectfully submitted that I have completed my MS Degree in 2024 but my degree is not added in my personal profile on MY IUB Portal. Please add my degree in personal profile and update on MY IUB Portal. Verified MS Transcript is also uploaded herewith this request. Thanking you in anticipation. Muhammad Rashid s/o Muhammad Iqbal Department of Bioinformatics, IUB",Profile Update,Medium
TCK-0142,"My visa application will be rejected if I do not submit a verified degree equivalence certificate by end of day today, and the university verification office has not responded to my urgent requests. Roll No: S22BBSCS2M1742",Certificate / Verification,Critical
TCK-0143,I need a bonafide student certificate for a bank loan application. Kindly issue at your earliest convenience. Roll No: F25BBAGRI6M4115,Certificate / Verification,Medium
TCK-0144,Kindly tell me if the enrollment certificate can be emailed instead of collected in person.,Certificate / Verification,Low
TCK-0145,"My scholarship-covered fee challan is still showing unpaid even though the scholarship office confirmed disbursement on 18 July 2026, and the late fee surcharge is now being added daily. Roll No: S23BBECON7M2188",Fee & Challan,High
TCK-0146,"Dear Sir/Madam, I am following up on my Degree Recognition application submitted through MOHESR VFSGLOBAL as I have not received any update in about a week. Reference No: VFS-202669-57953",Certificate / Verification,Medium
TCK-0147,"My thesis section shows an error 'Missing Comprehensive Exam Date'; kindly contact the exam coordinator to update this on my behalf, or guide me on the process. Roll No: S23BLLB5M3344",Thesis,Medium
TCK-0148,My 3rd semester result is not showing on the portal since the declaration date has passed. Roll No: S22BMBA3M2790. Kindly update.,Result,Medium
TCK-0149,Kindly change my registered email address on my account as I no longer have access to the old one. Roll No: F20BBSCS3M4630,Account & Login,Medium
TCK-0150,"My repeat subject fee challan has not been generated even though the subject is showing on my result as failed, and course registration closes in two days. Roll No: S22BBSEEN2M9494",Course Registration,High
TCK-0151,"To: The Director, Admissions Office The Islamia University of Bahawalpur Subject: Request for Refund of Late Fee Charges (Rs. 16,000) Respected Sir/Madam, I hope this letter finds you well. My name is Shahzad Khan, Roll No. F20BPESS1M01002, student of BS Physical Education & Sports Sciences (Session 2020–2024) at the Bahawalpur Campus. I respectfully request your kind attention regarding the refund of my late fee charges amounting to Rs. 16,000 (Rs. 8,000 each for Fall 2023 and Spring 2024). The University announced that these additional late fee charges would be refunded to eligible students. I completed all the required formalities and submitted my refund application to the Admissions Office approximately two years ago. However, despite the completion of the entire process, I have not yet received the refund. Neither has the amount been transferred to my bank account nor have I received any cheque. I, therefore, humbly request you to kindly look into my case and arrange the release of my pending refund of Rs. 16,000 at the earliest. Your prompt attention and cooperation in this matter will be highly appreciated. Thank you for your time and consideration. Yours sincerely, Shahzad Khan Roll No.: F20BPESS1M01002 BS Physical Education & Sports Sciences Session: 2020–2024 Department of Physical Education & Sports Sciences Bahawalpur Campus Phone: 0340-1307166",Fee & Challan,High
TCK-0152,"Clearance form kahan se milay ga, please guide.",Clearance,Low
TCK-0153,Several ceiling fans in the Baghdad-ul-Jadeed Campus hostel common room are not working; kindly arrange repair.,Infrastructure / Maintenance,Medium
TCK-0154,Aoa sir kindly remove my clearance because meri 2 supply rehti ha mujhsy ghalti sy hogai clearance,Clearance,Medium
TCK-0155,"Hello, I would like to file a complaint regarding my result portal. I am currently unable to access my result, as the portal either appears completely blank or displays an ""Invalid Token Request"" error. Meanwhile, many of my classmates have already been able to view their results. I would appreciate it if you could resolve this issue as soon as possible so that I can access my result. Thank you.",Result,High
TCK-0156,What is the admission fee structure for BS Information Technology?,Admission,Low
TCK-0157,"I am escalating my complaint as my previous three tickets on the same unresolved scholarship issue were closed without any action, and the matter remains urgent. Roll No: F25BBSCS7M5564",Complaint,High
TCK-0158,Just checking the process to update my emergency contact in HR records.,Employee Services,Low
TCK-0159,Sir I submitted my degree application form but have not received any confirmation email. Please confirm receipt. Roll No: F24BBSIT6M6573,Degree,Medium
TCK-0160,On my clearence form only 7th semester show but now i am completed my degree Please add 8th semester fee details in my clearence form,Clearance,Medium
TCK-0161,My comprehensive exam date is missing from my record; kindly update it so I can proceed. Roll No: S24BBMEDS3M6446,Examination,Medium
TCK-0162,"The examination portal has crashed for the entire class right before the scheduled online exam start time, and no backup arrangement has been announced yet. LLB (5 Years)",Examination,Critical
TCK-0163,My 4th semester results is not showing on e portal please guide and solve this problem,Result,Medium
TCK-0164,What is the admission fee structure for BS Mathematics?,Admission,Low
TCK-0165,"I need my final clearance certificate today for a job that requires it as proof of degree completion, and without it my job offer will be withdrawn by end of day. Roll No: S23BMPHIL7M9270",Clearance,Critical
TCK-0166,"My degree application submitted on 25 July 2026 still shows pending review. Kindly confirm expected completion date. Name: Adnan Rasheed, Roll No: S25BBMEDS5M5119",Degree,Medium
TCK-0167,"The examination portal has crashed for the entire class right before the scheduled online exam start time, and no backup arrangement has been announced yet. BS Information Technology",Examination,Critical
TCK-0168,"My exam re-evaluation result has still not been updated for about a week, and my final semester GPA calculation, needed for a scholarship application this week, depends on it. Roll No: S25BBELEN2M7730",Examination,High
TCK-0169,Just checking the process to correct a minor name spelling issue.,Name Correction,Low
TCK-0170,"My admission offer will be automatically cancelled at midnight tonight if I do not submit my original documents, but the university document upload portal is showing a server error for all users.",Admission,Critical
TCK-0171,What is the admission fee structure for PhD Management Sciences?,Admission,Low
TCK-0172,"My account keeps logging me out automatically every few minutes, making it impossible to submit forms. Roll No: S22BBMEDS5M4937",Account & Login,Medium
TCK-0173,"My leave of absence request for a medical emergency has not been approved yet, and my semester fee deadline, which depends on this approval, is this week. Roll No: S22BMPHIL4M7843",Other,High
TCK-0174,Is there an option to change my profile picture on the portal?,Profile Update,Low
TCK-0175,My account shows 'Access Restricted' message when I try to view my dashboard. Roll No: F20BBDOCS2M2402,Account & Login,Medium
TCK-0176,How can I get the GitHub Student Developer Pack using my IUB email?,Other,Low
TCK-0177,"My name on my degree does not match my CNIC due to a typo, and this mismatch is now blocking my HEC attestation submission which has a deadline this week. Roll No: S25BMBA7M4978",Name Correction,High
TCK-0178,Just checking if a thesis extension request can be filed online.,Thesis,Low
