ticket_id,description,category,priority
PR-1144,My examination is scheduled to start in less than an hour and the admit card generation system has been down for our entire session since early this morning. Regards.,Examination,Critical
PR-1045,"Hi, my admission application fee was paid but the status still shows 'Pending Payment' on the portal. Kindly advise.",Admission,Medium
PR-0041,Kindly note: The Wi-Fi router in one of the blocks has been intermittent for several days; could it be checked? Thank you.,Infrastructure / Maintenance,Medium
PR-0470,"My degree application shows 'Submitted' status even though I paid the challan over a week ago, and I would like to know if this is normal processing time.",Degree,Medium
TCK-0120,"Just want to know the normal degree processing time, thanks.",Degree,Low
PR-0848,"My name correction request has been pending for nearly two months, and it is now blocking my degree printing needed before by Friday.",Name Correction,High
PR-1422,"My Directorate of Academics clearance has been pending for more than two months even though my other clearances were completed long ago, and I need my final transcript for a job that starts in two days.",Clearance,High
PR-0821,"Sir, my profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office within 24 hours, and I cannot correct it myself. Thank you.",Profile Update,Critical
PR-0564,"My scholarship-covered fee challan is still showing unpaid even though the scholarship office confirmed disbursement a couple of days ago, and a late fee surcharge starts today. Thank you.",Fee & Challan,High
TCK-0380,"My transcript request has been pending for more than 20 days despite the fee being paid, and I need it for a scholarship submission this week. Name: Farhan Sadiq, Roll No: F21BLLB4M2291",Transcript,High
PR-0779,My examination is scheduled to start in less than an hour and the admit card generation system has been down for our entire session since early this morning. Please look into this.,Examination,Critical
PR-1175,Kindly note: My examination is scheduled to start in less than an hour and the admit card generation system has been down for our entire session since early this morning. Kindly help.,Examination,Critical
TCK-0325,My semester fee payment deadline is today and the challan generation option has completely disappeared from my portal since this morning; I risk being dropped from the semester if I cannot pay today. Roll No: S24BBAGRI5M5345,Fee & Challan,Critical
PR-1474,"The telephone line of the Hostel Office at Baghdad-ul-Jadeed Campus is not functioning, and this is adversely affecting the ongoing admission campaign whose deadline is by Friday. Thank you.",Infrastructure / Maintenance,High
PR-0287,"Hi, my degree application shows 'Submitted' status even though I paid the challan a couple of days ago, and I would like to know if this is normal processing time. Awaiting your response.",Degree,Medium
PR-1102,"Dear concerned team, is it possible to link two of my accounts together, or should I just keep using them separately?",Account & Login,Low
TCK-0069,Kya open merit list already declare ho chuki hai is saal ki?,Admission,Low
PR-0412,"Respected Sir/Madam, the telephone line of the Examination Department at Khanpur Campus is not functioning, and this is adversely affecting the ongoing admission campaign whose deadline is by tomorrow morning.",Infrastructure / Maintenance,High
TCK-0121,"Result kab tak ayega, please batayen.",Result,Low
PR-0817,"The entire fee payment gateway has been down since last night for all students, and by tomorrow morning is the final date to submit semester fees without a late fine. Regards.",Fee & Challan,Critical
PR-1063,"Sir, despite paying all dues on time, I have faced continuous delays across multiple offices regarding my final clearance, now jeopardizing my job joining date tomorrow. Kindly advise.",Complaint,High
PR-0818,"Our whole department's final semester result system is showing 'no data found' for every single student, and it is blocking all of us from applying for graduation clearance before by Friday. Kindly help.",Result,Critical
PR-1155,"Sir, none of the 159 students in our batch can log in to the portal since last night, and by Friday is the final date for exam form submission with no extension announced. Thank you.",Account & Login,Critical
PR-1197,What is the recommended word count for a thesis final draft? Kindly advise.,Thesis,Low
PR-1259,"Kindly note: I paid my urgent degree processing fee of Rs. 16,000 but the transaction has completely vanished from both my bank statement and the portal, and my visa appointment is by tomorrow morning. Kindly help.",Fee & Challan,Critical
PR-1316,"My scholarship disbursement has been delayed by more than two months, and I need this amount to clear my semester fee challan before the due date by tomorrow morning, otherwise I risk being dropped. Kindly help.",Scholarship,High
TCK-0038,"I need an official letter of recommendation urgently for a scholarship application closing in two days, and my department has not responded to my request submitted a few days ago. Roll No: S23BLLB1M6129",Other,High
TCK-0242,The dark mode toggle on the portal doesn't seem to save my preference.,Portal Technical Issue,Low
PR-0802,"Dear concerned team, my name correction request has been pending for nearly two months, and it is now blocking my degree printing needed before this week.",Name Correction,High
PR-0677,"My admission has been put on hold because my HEC equivalence certificate has not been verified yet, and classes for BS Information Technology start this week.",Admission,High
PR-1090,"Sir, has the result declaration date been finalized yet for this semester? Kindly advise.",Result,Low
TCK-0100,Please confirm if my course load this semester meets the minimum credit hour requirement. Roll No: S25BBSEEN7M5415,Course Registration,Medium
PR-0929,"Hi, my profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office in two days, and I cannot correct it myself.",Profile Update,Critical
PR-1308,"My thesis submission is blocked on the portal due to a missing field error, and my defense is scheduled this week.",Thesis,High
PR-0321,What is the normal degree processing time for BS Statistics graduates? Regards.,Degree,Low
PR-0748,"My clearance was rejected without any specified reason, and this is now delaying my degree collection needed for a job joining date this week. Regards.",Clearance,High
PR-0126,"Hi, my account shows an 'Access Restricted' message on the dashboard, though I can still use the mobile app in the meantime. Kindly advise.",Account & Login,Medium
PR-0581,"Sir, my admission has been put on hold because my HEC equivalence certificate has not been verified yet, and classes for BS Physical Education & Sports Sciences start this week.",Admission,High
PR-0883,How can employees generally check their leave balance?,Employee Services,Low
PR-0055,"Hi, i paid my semester fee of Rs. 22,000 on a couple of days ago and the amount was deducted from my account, but the portal still shows the challan as unpaid, and the late fee deadline is within 24 hours. Please look into this.",Fee & Challan,High
PR-0582,"Dear concerned team, when does the admission form submission usually open for the next intake?",Admission,Low
PR-0054,"Kindly note: I have a visa interview in two days and the embassy has specifically asked for my original transcript, which I still do not have despite requesting it almost two weeks ago.",Transcript,Critical
TCK-0416,"I keep getting logged out mid-way while filling a long form on the portal, losing all my entered data. Roll No: S22BBMEDS4M5871",Portal Technical Issue,Medium
PR-1383,"Sir, the notification bell on my dashboard shows a count but clicking it does not open any notifications.",Portal Technical Issue,Medium
PR-1344,"My transcript request submitted about a week ago is still pending, and I would like an update on the expected completion date.",Transcript,Medium
PR-1199,"Kindly note: I paid my semester fee of Rs. 42,000 on about a week ago and the amount was deducted from my account, but the portal still shows the challan as unpaid, and the late fee deadline is within 24 hours. Regards.",Fee & Challan,High
PR-0773,"Sir, what is the recommended word count for a thesis final draft? Please look into this.",Thesis,Low
PR-0914,"Dear concerned team, my result shows an F grade in Computer Architecture that I'm confident is incorrect, and this is affecting my scholarship eligibility review scheduled this week. Please look into this.",Result,High
PR-1183,"Hi, small feedback: the waiting area could use a bit more seating, just a general comment. Regards.",Complaint,Low
TCK-0258,"Due to the mismatch between my student name and my national ID card name, I am facing rejection at multiple official verification steps including my visa application. Kindly correct urgently. Roll No: S23BBSCS4M6934",Name Correction,High
TCK-0225,"My name correction request has been pending for a few days, and it is now blocking my degree printing since the name must match CNIC exactly. Roll No: F25BBDOCS4M7071",Name Correction,High
PR-0960,How can I generate a new fee challan for the semester? Regards.,Fee & Challan,Low
PR-0930,The thesis submission deadline is today at midnight and the upload button has been completely non-functional for our entire batch since this afternoon.,Thesis,Critical
PR-0909,"Hi, a major water leakage has flooded part of the server room at Bahawalpur City Campus, threatening to permanently damage critical IT infrastructure for the whole university. Regards.",Infrastructure / Maintenance,Critical
PR-1337,"The examination portal has completely gone down while the final exam is currently being conducted live for hundreds of students, and no backup arrangement has been announced. Awaiting your response.",Examination,Critical
PR-0224,Kindly note: I need a duplicate transcript copy as my original was misplaced. Could you guide me on the reissuance process?,Transcript,Medium
PR-1357,I would like to know how to request a change of campus from Khanpur Campus to another campus. Regards.,Other,Medium
PR-0653,"I have an F grade in Thermodynamics but the subject is not appearing in the Course Repeat section, and I cannot register for the upcoming semester which closes in two days. Kindly advise.",Course Registration,High
PR-0682,What is the process to request an official transcript copy in general?,Transcript,Low
PR-1030,"My transcript request submitted over a week ago is still pending, and I would like an update on the expected completion date. Awaiting your response.",Transcript,Medium
PR-0620,What is the admission fee structure for MPhil Software Engineering? Awaiting your response.,Admission,Low
PR-1553,"Hi, i have a visa interview in two days and the embassy has specifically asked for my original transcript, which I still do not have despite requesting it over a week ago.",Transcript,Critical
PR-1152,"The payroll system for the entire faculty has failed this cycle and salaries have not been disbursed to anyone, with rent and utility deadlines due in two days for many staff members.",Employee Services,Critical
PR-0382,"Could you update my bank account details in the payroll system, as my old account has been closed? Please look into this.",Employee Services,Medium
TCK-0240,"My contract renewal has not been processed and my current contract expires this week, putting my continued employment and salary at risk.",Employee Services,High
PR-1577,Has the result declaration date been finalized yet for this semester? Please look into this.,Result,Low
PR-0436,"Respected Sir/Madam, the notification bell on my dashboard shows a count but clicking it does not open any notifications.",Portal Technical Issue,Medium
PR-0603,"Hi, the main student database appears to be corrupted, and records for an entire batch of 402 students are showing blank or missing fields across every module. Awaiting your response.",Portal Technical Issue,Critical
PR-0351,"Despite paying all dues on time, I have faced continuous delays across multiple offices regarding my final clearance, now jeopardizing my job joining date by tomorrow morning.",Complaint,High
PR-0979,"Respected Sir/Madam, what documents are generally required for the final clearance process? Please look into this.",Clearance,Low
PR-0580,"Respected Sir/Madam, how do I log out of the portal properly on a shared computer? Please look into this.",Account & Login,Low
PR-0547,Kindly note: One of my course results is missing from my transcript page while the rest are showing correctly. Regards.,Result,Medium
PR-0630,Kindly note: My thesis file was rejected by the portal for an unspecified reason and the resubmission deadline is within 24 hours. Thank you.,Thesis,High
TCK-0437,Hi Respected sir i want to change modify my picture from My Transcript kindly i am sharing this picture kindly update on profile record Thanks,Profile Update,Low
PR-1591,"Kindly note: My admission abroad will be cancelled by tomorrow morning unless my degree name matches my passport exactly, and the correction request has been pending for nearly two months despite the urgency I flagged.",Name Correction,Critical
TCK-0171,What is the admission fee structure for PhD Management Sciences?,Admission,Low
TCK-0328,Kindly tell me how many casual leaves are allowed per year for staff.,Employee Services,Low
PR-0112,"My credit transfer approval, required by tomorrow morning to secure my admission abroad before their deadline expires, has still not been processed despite three urgent escalations this week. Kindly help.",Other,Critical
PR-0155,"I am escalating a critical complaint on behalf of my entire batch — none of our clearance requests have been processed for over a month, and our convocation, requiring proof of clearance, is by Friday. Regards.",Complaint,Critical
PR-0121,"Dear concerned team, the examination portal has completely gone down while the final exam is currently being conducted live for hundreds of students, and no backup arrangement has been announced. Kindly advise.",Examination,Critical
PR-0403,"Sir, could you confirm receipt of the documents I submitted for my degree equivalence certification? Kindly advise.",Certificate / Verification,Medium
PR-0577,"My urgent degree application has been under 'review' for over a week even though I paid the urgent fee, and I need it for a job offer that requires verification by Friday. Awaiting your response.",Degree,High
TCK-0313,"My registration hold has still not been cleared despite clearing all dues two weeks ago, and today is the absolute last day to register, after which I will lose the semester entirely. Roll No: F21BBAGRI7M2858",Course Registration,Critical
PR-0140,"Hi, could a dark mode option be added to the profile page? It would be a nice addition. Kindly help.",Profile Update,Low
TCK-0289,"My Directorate of Academics clearance has been pending for about a week even though my IT and library clearances were completed long ago, and I need my final transcript for a job application. Roll No: F24BBAGRI7M4262",Clearance,High
PR-0168,"Dear concerned team, by mistake I applied for clearance under the wrong semester; could my clearance be reset so I can reapply correctly? Kindly advise.",Clearance,Medium
PR-0231,"Sir, is there a student club focused on robotics that I could join?",Other,Low
PR-1424,"Respected Sir/Madam, i have already submitted my thesis but I am unable to check the current status because it shows a missing registration number error. Please look into this.",Thesis,Medium
PR-1126,"Kindly note: My scholarship disbursement has been delayed by over a month, and I need this amount to clear my semester fee challan before the due date today, otherwise I risk being dropped. Kindly help.",Scholarship,High
PR-0639,When is the next semester result usually announced? Please look into this.,Result,Low
TCK-0178,Just checking if a thesis extension request can be filed online.,Thesis,Low
TCK-0206,"Dear Sir/Madam, I applied for degree completion clearance to obtain my official LL.B (5 Years) academic transcript. The clearance from the Directorate of IT has already been completed, but the Directorate of Academics clearance is still pending. Kindly review and process my clearance request at your earliest convenience.",Clearance,Medium
PR-0675,"Hi, i have already submitted my thesis but I am unable to check the current status because it shows a missing registration number error.",Thesis,Medium
TCK-0379,I would like to confirm my pension contribution status as a retiring faculty member this year.,Employee Services,Medium
PR-1561,"Dear concerned team, how do I log out of the portal properly on a shared computer? Please look into this.",Account & Login,Low
TCK-0195,"When I open the myIUB app or website and navigate to the Transcript section, the transcript is not showing. Instead, it appears empty or does not load any data. I am unable to view my academic transcript, and it is unclear whether this issue is due to a system error or missing data. Kindly check and resolve this issue as soon as possible so that the transcript information can be accessed properly.",Portal Technical Issue,High
PR-1585,"Hi, is there a mobile app version of the portal available, just curious? Regards.",Portal Technical Issue,Low
PR-0673,Kindly note: Could a dark mode option be added to the profile page? It would be a nice addition.,Profile Update,Low
TCK-0413,"The entire clearance module of the portal has been throwing a server error for two days, and I cannot proceed with a time-sensitive task because of it. Roll No: F23BPHD2M5352",Portal Technical Issue,High
PR-0174,"Kindly note: My profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office tomorrow, and I cannot correct it myself.",Profile Update,Critical
PR-1394,What is the admission fee structure for BS Computer Science? Please look into this.,Admission,Low
PR-1179,"Sir, what is the admission fee structure for BS Software Engineering? Awaiting your response.",Admission,Low
PR-1181,"None of the 584 students in our batch can log in to the portal since last night, and by Friday is the final date for exam form submission with no extension announced.",Account & Login,Critical
PR-0376,"Sir, do I need to visit in person for a name correction, or is there an online option available? Please look into this.",Name Correction,Low
PR-1242,"My visa application will be rejected if I do not submit a verified degree equivalence certificate by this week, and the verification office has stopped responding entirely. Regards.",Certificate / Verification,Critical
PR-0117,"Respected Sir/Madam, the result declaration system crashed for the entire batch of 215 students just minutes before the scheduled announcement time, and everyone is waiting anxiously. Thank you.",Result,Critical
PR-0220,"Hi, how can I generate a new fee challan for the semester? Please look into this.",Fee & Challan,Low
PR-1535,My admission application fee was paid but the status still shows 'Pending Payment' on the portal. Awaiting your response.,Admission,Medium
PR-1522,"Kindly note: My admission abroad will be cancelled in two days unless my degree name matches my passport exactly, and the correction request has been pending for more than two months despite the urgency I flagged. Please look into this.",Name Correction,Critical
PR-0807,"Sir, my degree verification request from a foreign employer has been pending response for nearly two months, and my job offer is contingent on it being completed by by tomorrow morning. Thank you.",Certificate / Verification,High
PR-0060,"The fee payment gateway on the portal is throwing a fatal error for every single student today, which is the last date for semester fee submission without penalty. Thank you.",Portal Technical Issue,Critical
TCK-0329,"My transcript request has been pending for two weeks despite the fee being paid, and I need it for a scholarship submission this week. Name: Anum Sultana, Roll No: F25BMPHIL2M2139",Transcript,High
PR-1546,I would like to get my 'Computer Architecture' exam paper rechecked as I believe there may be a marking error. Please look into this.,Examination,Medium
PR-1041,"The portal loads a little slowly on mobile sometimes; just wanted to mention it, not urgent. Kindly help.",Portal Technical Issue,Low
PR-1021,"Hi, could a water cooler be installed near the Admissions Office? Just a small suggestion. Kindly help.",Infrastructure / Maintenance,Low
PR-0625,"Dear concerned team, could you update my bank account details in the payroll system, as my old account has been closed? Awaiting your response.",Employee Services,Medium
TCK-0127,Just wanted to confirm the examination fee amount for this term.,Examination,Low
PR-1033,"Respected Sir/Madam, hEC verification of my scholarship documents is still pending after almost two weeks, and my semester fee due date is within 24 hours. Kindly advise.",Scholarship,High
PR-0658,"Kindly note: Is it possible to link two of my accounts together, or should I just keep using them separately? Awaiting your response.",Account & Login,Low
PR-1139,"Kindly note: A major water leakage has flooded part of the server room at Baghdad-ul-Jadeed Campus, threatening to permanently damage critical IT infrastructure for the whole university. Thank you.",Infrastructure / Maintenance,Critical
TCK-0393,Just checking if summer semester registration is open to all students.,Course Registration,Low
PR-1359,"Hi, the fee voucher module of the portal has been throwing a server error for about a week, and I cannot proceed with a task due by Friday. Please look into this.",Portal Technical Issue,High
PR-1402,"My admission at a foreign university will be cancelled if I do not submit my original transcript by today, and the transcript office has not responded to my repeated requests. Kindly help.",Transcript,Critical
PR-1017,"My name on my degree does not match my CNIC due to a typo, and this mismatch is blocking my HEC attestation submission, which has a deadline this week. Kindly help.",Name Correction,High
PR-0711,"The paint on a corridor wall near the library is a little worn, just reporting it, not urgent at all. Thank you.",Infrastructure / Maintenance,Low
PR-0685,I want to complain that my previous ticket was closed without any resolution or explanation; could it be reopened? Regards.,Complaint,Medium
PR-1533,"Dear concerned team, i am filing an urgent complaint that despite an official refund approval of Rs. 8,000 on record, the accounts office has still not released the funds, and I cannot pay this week's non-negotiable admission deadline fee without it.",Complaint,Critical
PR-0585,"My login access to a system I need for essential work was suddenly revoked, and I have a task depending on it due by tomorrow morning. Kindly advise.",Account & Login,High
PR-0473,"Our entire class's clearance requests have been frozen due to a system error, blocking all 240 of us from collecting our degrees before by Friday's convocation.",Clearance,Critical
PR-1122,"Sir, i am unable to log in even with the correct credentials; it shows 'Invalid Username or Password' repeatedly, though I can still access things from my phone as a workaround. Regards.",Account & Login,Medium
PR-0797,"Dear concerned team, my account shows an 'Access Restricted' message on the dashboard, though I can still use the mobile app in the meantime. Thank you.",Account & Login,Medium
TCK-0255,One course result can not be show the my iub,Result,Medium
PR-1205,"I have an F grade in Operating Systems but the subject is not appearing in the Course Repeat section, and I cannot register for the upcoming semester which closes tomorrow.",Course Registration,High
TCK-0339,How can I check which email is registered against my account?,Account & Login,Low
PR-1432,"Dear concerned team, i accidentally generated a combined fee voucher for two subjects; could this be split into separate vouchers? Kindly advise.",Fee & Challan,Medium
PR-0385,"Sir, my educational records are not reflected in my profile despite attaching verified transcripts a couple of days ago.",Profile Update,Medium
PR-1080,Kindly note: I would like to know how to request a change of campus from Bahawalpur City Campus to another campus. Please look into this.,Other,Medium
PR-0237,Is there a student club focused on debate that I could join? Awaiting your response.,Other,Low
TCK-0394,My transcript not showing???,Transcript,Medium
PR-0228,What is the recommended word count for a thesis final draft? Kindly help.,Thesis,Low
PR-0551,"Sir, my salary has not been credited for about a week despite my department confirming approval, and I need this urgently to cover overdue expenses due by Friday. Kindly advise.",Employee Services,High
PR-0267,What documents are generally required for the final clearance process? Thank you.,Clearance,Low
PR-0024,"My clearance is the only thing standing between me and graduation, and my scholarship abroad requires proof of graduation by within 24 hours, but the Directorate of Academics has gone completely silent. Thank you.",Clearance,Critical
TCK-0074,"I need an official letter of recommendation urgently for a scholarship application closing in two days, and my department has not responded to my request submitted a few days ago. Roll No: S22BBSEEN3M3815",Other,High
PR-0568,Kindly note: I am unable to update my biography and professional links on my profile page; the save button does not seem to work.,Profile Update,Medium
TCK-0027,I worked as a Visiting Lecturer from Spring 2022 to Spring 2023 and require my salary slips and an experience certificate for a visa application. Kindly issue at your earliest convenience.,Employee Services,Medium
PR-0712,"Hi, the entire fee payment gateway has been down since last night for all students, and by Friday is the final date to submit semester fees without a late fine. Thank you.",Fee & Challan,Critical
PR-1565,"My thesis submission is blocked on the portal due to a missing field error, and my defense is scheduled by tomorrow morning. Please look into this.",Thesis,High
PR-1384,"Several months of ticket records and attached documents appear to have been permanently deleted from the system overnight with no backup available, affecting hundreds of open cases.",Portal Technical Issue,Critical
PR-0378,"Kindly note: It has been several months since I completed my graduation and I still have not received my degree, which is now delaying a job I was set to start within 24 hours.",Degree,High
PR-1196,"Hi, my admission abroad will be cancelled by tomorrow morning unless I submit my original degree, and it has been stuck in processing for nearly two months despite paying the urgent fee. Please look into this.",Degree,Critical
PR-0705,"Respected Sir/Madam, my Directorate of Academics clearance has been pending for over a month even though my other clearances were completed long ago, and I need my final transcript for a job that starts within 24 hours. Please look into this.",Clearance,High
TCK-0288,"I submit this complaint regarding the non-payment of the final installment of my scholarship. It has been more than two and a half years since the 4th installment, but despite repeated requests and inquiries, the last installment of the scholarship has not been provided. Throughout this period, the university administration repeatedly informed us that the payment was delayed due to the unavailability of funds and assured us that the installment would be released once adequate funds became available. In response to a previous complaint submitted through the Prime Minister's Portal, the university also stated that the scholarship would be granted when sufficient funds were available. Upon recent inquiry, it was informed that we (Batch-9 of HEC-need based scholarship) had already received all scholarship installments. This claim is incorrect as we received only four installments while other Pharm-D students have been granted 5 installments due to 5 years degree program",Scholarship,Critical
PR-0256,"I am formally complaining about a delay of over a month in processing my clearance request despite multiple follow-ups, and I now have a hard deadline this week.",Complaint,High
TCK-0214,"My scholarship result correction request affecting my CGPA-based eligibility for the next scholarship cycle has not been reviewed, and the eligibility list closes in a few days. Roll No: F22BLLB2M3662",Scholarship,High
PR-0172,"Dear concerned team, i was declared eligible on the merit list for BS Mathematics but my admission fee challan is not generating, and by tomorrow morning is the last date to pay and confirm my seat. Awaiting your response.",Admission,High
TCK-0389,Kindly guide me how to change my selected campus from Rahim Yar Khan Campus to another campus on my admission form.,Admission,Medium
PR-0442,"Hi, it has been more than two months since I completed my graduation and I still have not received my degree, which is now delaying a job I was set to start tomorrow.",Degree,High
PR-0696,"Kindly note: My profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office this week, and I cannot correct it myself.",Profile Update,Critical
PR-0837,"My scholarship disbursement has been delayed by several months, and I need this amount to clear my semester fee challan before the due date by tomorrow morning, otherwise I risk being dropped. Awaiting your response.",Scholarship,High
TCK-0472,I mistakenly applied for clearance under the wrong semester and now my degree processing is stuck because the system will not let me correct it myself. Roll No: F20BBSEEN2M8784,Clearance,High
PR-0744,"Respected Sir/Madam, course registration closes at midnight by Friday and the registration module has been throwing an error for every single student in my batch since this morning. Awaiting your response.",Course Registration,Critical
PR-1564,"Respected Sir/Madam, my name mismatch between my degree and CNIC is the sole reason my HEC attestation, required by tomorrow morning for a visa appointment, has been rejected. Thank you.",Name Correction,Critical
PR-0974,Could a water cooler be installed near the HR Office? Just a small suggestion.,Infrastructure / Maintenance,Low
TCK-0452,Please update my current postal address on my profile as it still shows my old hostel address. Roll No: F22BMBA2M2052,Profile Update,Medium
PR-0541,"I need an official letter of recommendation urgently for a scholarship application closing tomorrow, and my department has not responded to my request from over a week ago. Thank you.",Other,High
PR-0390,When does the admission form submission usually open for the next intake? Thank you.,Admission,Low
PR-0001,What is the usual format of the mid-term examination? Regards.,Examination,Low
TCK-0230,"Despite three attempts, the portal will not save my updated CNIC on my profile, and HEC needs this exact record to complete my degree attestation this week. Roll No: F20BBECON3M7389",Profile Update,High
PR-1566,Kindly note: I would like to raise a complaint about receiving conflicting information from two different staff members regarding the same issue. Kindly advise.,Complaint,Medium
PR-0968,The projector in the the Admissions Office lecture hall at Rahim Yar Khan Campus has not been working for a couple of weeks; could this be repaired?,Infrastructure / Maintenance,Medium
PR-0183,"Respected Sir/Madam, my registration hold has still not been cleared despite clearing all dues weeks ago, and by Friday is the absolute last day to register, after which I will lose the entire semester.",Course Registration,Critical
PR-0611,"Hi, my department clearance is approved but the library clearance section still shows pending despite no outstanding books.",Clearance,Medium
PR-0127,Could you correct my program preference on my admission application from MBA to BS Mathematics? Please look into this.,Admission,Medium
TCK-0048,"The fire alarm system across the Rahim Yar Khan Campus hostel block has stopped working entirely, posing a serious safety risk to all resident students. Immediate repair is requested.",Infrastructure / Maintenance,Critical
PR-0638,"Respected Sir/Madam, i am unable to log in even with the correct credentials; it shows 'Invalid Username or Password' repeatedly, though I can still access things from my phone as a workaround.",Account & Login,Medium
TCK-0183,"When I open the myIUB app and navigate to the Result section, it appears empty and does not load any data. Kindly resolve. Roll No: F21BBDOCS7M7818",Portal Technical Issue,Medium
PR-0836,"Hi, my name mismatch between my degree and CNIC is the sole reason my HEC attestation, required in two days for a visa appointment, has been rejected.",Name Correction,Critical
PR-1453,"Hi, i paid my urgent degree processing fee of Rs. 26,400 but the transaction has completely vanished from both my bank statement and the portal, and my visa appointment is in two days. Awaiting your response.",Fee & Challan,Critical
PR-1164,I need a duplicate transcript copy as my original was misplaced. Could you guide me on the reissuance process? Kindly help.,Transcript,Medium
PR-0064,"Hi, i was awarded the scholarship shown on my portal, but I have not received any update on the disbursement schedule yet.",Scholarship,Medium
PR-0919,"I keep getting logged out mid-way while submitting a required form, and I've now failed to submit it three times with the deadline being tomorrow. Please look into this.",Account & Login,High
PR-0722,"Hi, our entire class's clearance requests have been frozen due to a system error, blocking all 266 of us from collecting our degrees before today's convocation. Awaiting your response.",Clearance,Critical
TCK-0346,My admission application fee was paid but the application status still shows 'Pending Payment' on the portal. Roll No: F21BMPHIL4M6663,Admission,Medium
TCK-0412,"This is a critical complaint that my scholarship funds, urgently needed to pay today's fee deadline to avoid being dropped from the semester, have been withheld without any explanation despite my approval being on record. Roll No: F25BBPESS6M6314",Complaint,Critical
PR-0824,"Respected Sir/Madam, the fee voucher module of the portal has been throwing a server error for almost two weeks, and I cannot proceed with a task due in two days. Regards.",Portal Technical Issue,High
PR-0018,"Respected Sir/Madam, how many credit hours can I generally register for in a normal semester? Please look into this.",Course Registration,Low
PR-0861,"Sir, i have been awarded a compartment in Computer Architecture despite being confident I attempted the paper correctly, and I need urgent re-evaluation as it affects my scholarship eligibility review tomorrow.",Examination,High
TCK-0233,"My name correction request has been pending for nearly two months, and it is now blocking my degree printing since the name must match CNIC exactly. Roll No: S22BBELEN6M4249",Name Correction,High
PR-0754,"Dear concerned team, the Wi-Fi router in one of the blocks has been intermittent for several days; could it be checked?",Infrastructure / Maintenance,Medium
PR-0697,"Respected Sir/Madam, the main student database appears to be corrupted, and records for an entire batch of 248 students are showing blank or missing fields across every module.",Portal Technical Issue,Critical
PR-0323,"My scholarship-covered fee challan is still showing unpaid even though the scholarship office confirmed disbursement about a week ago, and a late fee surcharge starts tomorrow.",Fee & Challan,High
PR-1038,"Hi, is it possible to link two of my accounts together, or should I just keep using them separately? Kindly help.",Account & Login,Low
PR-0500,"Hi, could you confirm the status of my scholarship application submitted over a week ago?",Scholarship,Medium
