question,answer
Can a student submit a complaint on behalf of another student?,"While a student may assist another in submitting a complaint, the GCRC requires the complaint to include the complainant's signature and identification details. The student filing the complaint must identify themselves ."
Why is my quiz not opening on IUB-LMS?,"If your quiz is not opening, check your internet connection and browser compatibility. Ensure you are using a supported browser and have the latest updates. If the problem persists, contact your instructor or the LMS support."
Some course content is missing on my IUB-LMS. What should I do?,"If course content is missing on IUB-LMS, first check with your instructor to confirm if the content has been uploaded. Refresh the page or try a different browser. If the issue continues, report it to the LMS support."
What undergraduate programs does IUB offer?,"IUB offers BS programs in fields including Arts and Languages, Social Sciences, Computing, Engineering and Technology, Law, Management Sciences, Medicine and Allied Health Sciences, Pharmacy, Agriculture and Environment, Veterinary and Animal Sciences, Physical and Mathematical Sciences, and Chemical and Biological Sciences ."
Where is the IT Help Desk located at IUB?,"The IUB IT Help Desk is located on campus. For IT-related issues, you can contact the Directorate of Information Technology at 062-9255858 or 062-9255062 ."
Where is the IUB Information Center located?,"The IUB Information Center is located in the basement of Sir Sadiq Muhammad Khan Library, Baghdad-ul-Jadeed Campus. It operates under the Directorate of Communication and Public Relations ."
How can I get a duplicate roll number slip at IUB?,"If you lose your roll number slip, you can download and print a new copy from the student portal. If you are unable to do so, contact the Examination Division for assistance."
How can I get a duplicate degree certificate from IUB?,"If you need a duplicate degree certificate, contact the Registrar's Office. You will need to submit a formal application and pay a fee. The process will be explained by the Registrar's Office."
What undergraduate programs does IUB offer?,"IUB offers a wide range of BS programs across its 15 faculties, including Computer Science, Information Technology, Software Engineering, Economics, Commerce, English Language & Linguistics, Applied Psychology, Botany, Physics, Mathematics, Chemistry, Biotechnology, Biochemistry, Zoology, Public Administration, Political Science, Islamic Studies, and many more. For a complete list, visit the official IUB website."
What is the scope of BS Software Engineering at IUB?,"BS Software Engineering at IUB prepares students for careers in software development, systems analysis, project management, and IT consulting. Graduates can work in software houses, IT departments, and technology companies. The program is offered through the Faculty of Computing."
Does IUB offer a BS in Artificial Intelligence?,"Yes, IUB offers BS in Artificial Intelligence through the Faculty of Computing. The program covers AI fundamentals, machine learning, deep learning, and related technologies. It is one of the advanced programs offered by IUB."
Does IUB offer a BS in Psychology?,"Yes, IUB offers BS in Psychology through the Faculty of Social Sciences. The program covers various areas of psychology including clinical, educational, and organizational psychology. Contact the Department of Psychology for specific curriculum details."
What is the scope of BS Information Technology at IUB?,"BS Information Technology at IUB prepares students for careers in IT management, network administration, systems analysis, and cybersecurity. Graduates can work in IT departments, technology companies, and related industries. The program is offered through the Faculty of Computing."
What is the scope of BS Economics at IUB?,"BS Economics at IUB prepares students for careers in banking, finance, government, research, and academia. Graduates can work as economists, policy analysts, financial advisors, or pursue higher education. The program is offered through the Faculty of Social Sciences."
What is the scope of BS Biotechnology at IUB?,"BS Biotechnology at IUB prepares students for careers in research, healthcare, agriculture, and pharmaceutical industries. Graduates can work as research scientists, quality control specialists, or pursue higher education. The program is offered through the Faculty of Chemical and Biological Sciences."
What is the scope of BS Chemistry at IUB?,"BS Chemistry at IUB prepares students for careers in research, pharmaceuticals, industry, and education. Graduates can work in chemical industries, research laboratories, or pursue higher education. The program is offered through the Faculty of Chemical and Biological Sciences."
What is the scope of BS Political Science at IUB?,"BS Political Science at IUB prepares students for careers in government, public policy, international relations, law, and academia. Graduates can work as policy analysts, diplomats, or pursue higher education. The program is offered through the Faculty of Social Sciences."
What is the scope of BS Mathematics at IUB?,"BS Mathematics at IUB prepares students for careers in education, research, finance, data science, and technology. Graduates can work as statisticians, data analysts, or pursue higher education. The program is offered through the Faculty of Physical and Mathematical Sciences."
What is the scope of BS Software Engineering at IUB?,"BS Software Engineering at IUB prepares students for careers in software development, project management, quality assurance, and systems analysis. Graduates can work in software houses, IT departments, and technology companies."
What is the scope of BS Information Technology at IUB?,"BS Information Technology at IUB prepares students for careers in IT management, network administration, systems analysis, and technology consulting. Graduates can work in IT departments, technology companies, and related industries."
What is the scope of BS Biotechnology at IUB?,"BS Biotechnology at IUB prepares students for careers in research, pharmaceuticals, agriculture, and healthcare. Graduates can work as research scientists, quality control specialists, or pursue higher education."
What is the scope of BS Chemistry at IUB?,"BS Chemistry at IUB prepares students for careers in pharmaceuticals, research, industry, and education. Graduates can work as chemists, researchers, or pursue higher education."
What is the scope of BS Mathematics at IUB?,"BS Mathematics at IUB prepares students for careers in education, research, data science, finance, and technology. Graduates can work as data analysts, teachers, or pursue higher education."
What is the scope of BS Political Science at IUB?,"BS Political Science at IUB prepares students for careers in government, policy-making, international relations, and academia. Graduates can work as policy analysts, diplomats, or pursue higher education."
What is the scope of BS Economics at IUB?,"BS Economics at IUB prepares students for careers in banking, finance, government, research, and academia. Graduates can work as economists, financial analysts, or pursue higher education."
What undergraduate programs does IUB offer?,"IUB offers a wide range of BS programs across its 15 faculties, including Computer Science, Information Technology, Software Engineering, Economics, Commerce, English Language & Linguistics, Applied Psychology, Botany, Physics, Mathematics, Chemistry, Biotechnology, Biochemistry, Zoology, Public Administration, Political Science, Islamic Studies, and many more. For a complete list, visit the official IUB website."
What is the scope of BS Software Engineering at IUB?,"BS Software Engineering at IUB prepares students for careers in software development, systems analysis, project management, and IT consulting. Graduates can work in software houses, IT departments, and technology companies. The program is offered through the Faculty of Computing."
Does IUB offer a BS in Artificial Intelligence?,"Yes, IUB offers a BS in Artificial Intelligence through the Faculty of Computing. The program covers AI fundamentals, machine learning, deep learning, and related technologies. It is one of the advanced programs offered by IUB."
Does IUB offer a BS in Psychology?,"Yes, IUB offers a BS in Psychology through the Faculty of Social Sciences. The program covers various areas of psychology including clinical, educational, and organizational psychology. Contact the Department of Psychology for specific curriculum details."
What is the scope of BS Information Technology at IUB?,"BS Information Technology at IUB prepares students for careers in IT management, network administration, systems analysis, and cybersecurity. Graduates can work in IT departments, technology companies, and related industries. The program is offered through the Faculty of Computing."
What is the scope of BS Economics at IUB?,"BS Economics at IUB prepares students for careers in banking, finance, government, research, and academia. Graduates can work as economists, policy analysts, financial advisors, or pursue higher education. The program is offered through the Faculty of Social Sciences."
What is the scope of BS Biotechnology at IUB?,"BS Biotechnology at IUB prepares students for careers in research, healthcare, agriculture, and pharmaceutical industries. Graduates can work as research scientists, quality control specialists, or pursue higher education. The program is offered through the Faculty of Chemical and Biological Sciences."
What is the scope of BS Chemistry at IUB?,"BS Chemistry at IUB prepares students for careers in research, pharmaceuticals, industry, and education. Graduates can work in chemical industries, research laboratories, or pursue higher education. The program is offered through the Faculty of Chemical and Biological Sciences."
What is the scope of BS Political Science at IUB?,"BS Political Science at IUB prepares students for careers in government, public policy, international relations, law, and academia. Graduates can work as policy analysts, diplomats, or pursue higher education. The program is offered through the Faculty of Social Sciences."
What is the scope of BS Mathematics at IUB?,"BS Mathematics at IUB prepares students for careers in education, research, finance, data science, and technology. Graduates can work as statisticians, data analysts, or pursue higher education. The program is offered through the Faculty of Physical and Mathematical Sciences."
What is the scope of BS Software Engineering at IUB?,"BS Software Engineering at IUB prepares students for careers in software development, project management, quality assurance, and systems analysis. Graduates can work in software houses, IT departments, and technology companies."
What is the scope of BS Information Technology at IUB?,"BS Information Technology at IUB prepares students for careers in IT management, network administration, systems analysis, and technology consulting. Graduates can work in IT departments, technology companies, and related industries."
What is the scope of BS Biotechnology at IUB?,"BS Biotechnology at IUB prepares students for careers in research, pharmaceuticals, agriculture, and healthcare. Graduates can work as research scientists, quality control specialists, or pursue higher education."
What is the scope of BS Chemistry at IUB?,"BS Chemistry at IUB prepares students for careers in pharmaceuticals, research, industry, and education. Graduates can work as chemists, researchers, or pursue higher education."
What is the scope of BS Mathematics at IUB?,"BS Mathematics at IUB prepares students for careers in education, research, data science, finance, and technology. Graduates can work as data analysts, teachers, or pursue higher education."
What is the scope of BS Political Science at IUB?,"BS Political Science at IUB prepares students for careers in government, policy-making, international relations, and academia. Graduates can work as policy analysts, diplomats, or pursue higher education."
What is the scope of BS Economics at IUB?,"BS Economics at IUB prepares students for careers in banking, finance, government, research, and academia. Graduates can work as economists, financial analysts, or pursue higher education."
When does course registration typically start at IUB?,Course registration dates are announced on the student portal and the academic calendar. Registration usually starts a few weeks before the semester begins. Check your student portal and the IUB website for the exact dates for each semester.
How can I get a duplicate roll number slip at IUB?,"If you lose your roll number slip, you can download and print a new copy from the student portal. If you are unable to do so, contact the Examination Division at 062-9250241 for assistance."
What happens if I fail a course at IUB?,"If you fail a course, you will need to repeat it the next time it is offered. The failed grade will be included in your CGPA calculation, but your transcript will show both the failed grade and the repeat grade."
What is academic probation at IUB?,"Academic probation is a warning given to a student whose CGPA falls below the minimum required standard, typically 2.0. You will be on probation for a semester. If you fail to improve your CGPA, further action may be taken."
How can I get a duplicate transcript from IUB?,"To get a duplicate transcript, contact the Examination Division. You will need to submit a formal application and pay a fee. The process will be explained by the Examination Division."
What is a fee challan and how do I get it?,A fee challan is a bank payment form. You can download and print it from your student portal under the fee section. You must take this challan to a designated bank to submit your fee. Keep the receipt as proof of payment.
What is the hostel fee for international students at IUB?,"IUB offers international students a hostel option with a standard menu for $500 and a special menu for $1,000 per semester. Contact the International Students Office for specific details."
How many students appeared for the HEC Need-Based Scholarship interviews at IUB?,As many as 1850 students appeared for the interviews conducted by the Directorate of Financial Assistance for the Higher Education Commission (HEC) Need-Based Scholarship program. This demonstrates IUB's commitment to making quality education accessible to deserving students across South Punjab.
What is the role of the Directorate of Financial Assistance at IUB?,"The Directorate of Financial Assistance (DFA) manages all scholarship programs at IUB, including HEC Need-Based, CM's Honhaar Scholarship, PEEF, and other financial aid initiatives. They conduct interviews, select eligible students, and manage payouts under different scholarships."
What documents are required for the HEC Need-Based Scholarship interview at IUB?,"The documents required include: HEC Application Form, copy of the last Fee Receipt, copy of CNIC, Income Certificate, Rent Agreement (if applicable), Utility Bills, and Death/Disability/Medical Certificate of Parent/Guardian if applicable."
What facilities are available in IUB hostels?,"IUB hostels offer dormitory-style rooms with shared bathrooms, kitchens, and common areas, along with free Wi-Fi, lockers, laundry services, and communal kitchens. Some hostels also provide private rooms, basic meals, and recreational activities. Beautiful study parks are also available adjacent to hostels."
How can faculty members contribute to IUB's global ranking improvement?,"Faculty can contribute by focusing on high-quality research, publications, and teaching. The Quality Enhancement Cell (QEC) organizes training sessions on strategies to elevate IUB's global ranking."
What is the Research Integrity policy at IUB?,"IUB has a Research Integrity policy that requires faculty, staff, and students to adhere to the highest standards of ethics and integrity in research. Research misconduct is defined as fabrication, falsification, plagiarism, or other wrongdoing in proposing, designing, performing, recording, supervising, or reviewing research."
How are houses allotted to faculty and staff at IUB?,House allotment is done through an online system at my.iub.edu.pk under 'My Apps + House Allotment'. Applicants must obtain a fresh Service Certificate from the Registrar's office and upload a clear copy with their online application. Previously submitted applications are not entertained.
What is the Research Integrity policy at IUB?,"IUB has a Research Integrity policy that requires faculty, staff, and students to adhere to the highest standards of ethics and integrity in research. Fabrication, falsification, and plagiarism are defined as research misconduct and are grounds for disciplinary action. The policy is available on the IUB website."
How can I report plagiarism at IUB?,"You can report plagiarism concerns to the Directorate of IT at IUB via email at ddit@iub.edu.pk or plagiarism@iub.edu.pk. IUB follows the HEC Plagiarism Policy, which outlines investigation procedures and proportional punitive actions for offenses."
How many HEC-recognized research journals does IUB publish?,"IUB publishes 23 HEC-accredited research journals, which contributed to the university securing the 2nd position nationwide in HEC Accredited Journals for 2025. These journals are managed under the administrative domain of ORIC."
What are the eligibility criteria for the Postdoctoral Research Fellowship at IUB?,"Candidates must hold a PhD degree from an HEC-recognized university and submit a written research proposal outlining how they intend to satisfy at least two of the specified outcomes, such as producing publications or creating funded research linkages."
What is the purpose of the Research Data Management Policy at IUB?,"The Research Data Management Policy ensures that valuable data are not lost, provides a basis to answer allegations of research misconduct or questions about results, assists in the protection of intellectual property, and assures auditors that robust academic supervision is in place."
What is the process for approving Postdoctoral Fellowship applications at IUB?,"Applications are processed and reviewed by the Research Supervisor and shortlisted candidates are interviewed by a committee headed by the Principal Investigator (PI), the Registrar or his nominee, and one Subject Expert."
What is the significance of the 'National Digital Archive of Research Published in Pakistani Journals' project for IUB researchers?,The project aims to create a national digital archive and improve the visibility and indexing of Pakistani research in international databases like Scopus. ORIC IUB organized a one-day training activity in collaboration with the Pakistan Scientific and Technological Centre on this project.
What is the General Complaint Redressal Committee (GCRC) at IUB?,"The GCRC is a committee established to transform grievance resolution for students and faculty. It receives and addresses complaints and concerns, ensuring expeditious handling of issues in strict accordance with university regulations. It is guided by Prof. Dr. Saeed Ahmad Buzdar, Incharge Faculty of Physical and Mathematical Sciences."
How can I submit a complaint to the GCRC at IUB?,"You can submit your complaint through a user-friendly complaint redressal portal integrated within the MyIUB platform using your login credentials. A dedicated email address has also been established for this purpose. Alternatively, you may submit a hard copy."
Where can I find information about the GCRC members and contact details?,"The GCRC has made its constitution, membership details, and contact information available on the university's official website. Information is also disseminated through official communications, faculty meetings, student orientation programs, and notice boards."
What are the Terms of Reference (TORs) for the GCRC?,The GCRC has been tasked with developing comprehensive Terms of Reference (TORs) that will provide a detailed elucidation of the mandate and scope of the committee. The TORs will encompass the design of both online and offline complaint and appeal forms to ensure clarity and precision in addressing issues.
Can a student submit a complaint on behalf of another student?,"The GCRC policy requires complaints to include the signature and identification details of the complainant. A student may submit a complaint on behalf of another student, but they should include their own identification details and the details of the student they are representing. All complaints are subject to the GCRC's non-anonymity policy."
How can I report a harassment complaint at IUB?,"Students can report harassment complaints by contacting the Anti-Harassment Committee or the Center for Anti-Harassment and Discrimination. The phone numbers are clearly displayed at prominent places in all campuses, and all information is available on the university website. Awareness seminars are also organized regarding the anti-harassment policy and complaint procedure."
What is the IUB Anti-Harassment Center and who heads it?,The IUB Anti-Harassment and Discrimination Center is a dedicated facility established to handle harassment complaints. It is headed by a senior female teacher of the university. The center operates under the university's zero-tolerance policy on harassment and follows HEC guidelines for investigating complaints.
How is the anti-harassment policy implemented across different IUB campuses?,"The anti-harassment policy is implemented uniformly across all IUB campuses. A general notice for 'Strict Observance, Enforcement, Binding & For Compliance / Implementation of Anti-Harassment Act & Policy at IUB' was issued. The phone numbers of the anti-harassment committee are displayed at prominent places on all campuses."
How can I report a security concern at IUB?,"If you have a security concern, report it immediately to the hostel warden or the university security office. You can also register a formal complaint with the Directorate of Students Affairs. Security staff provides day and night services at all campuses."
Can I appeal a GCRC decision?,"The GCRC is developing comprehensive Terms of Reference (TORs) that will design both online and offline appeal forms. Once finalized, there will be a clear and precise appeal process for GCRC decisions."
Where is the IT Help Desk located at IUB?,"The IUB IT Help Desk is located on campus. For IT-related issues, you can contact the Directorate of Information Technology at 062-9255858 or 062-9255062. The IT support desk is located in the basement of the Science Faculty building at the Abbasia Campus for on-campus support."
Why is my quiz not opening on IUB-LMS?,"If your quiz is not opening, check your internet connection and browser compatibility. Ensure you are using a supported browser and have the latest updates. If the problem persists, contact your instructor or the LMS support team."
Some course content is missing on my IUB-LMS. What should I do?,"If course content is missing on IUB-LMS, first check with your instructor to confirm if the content has been uploaded. Refresh the page or try a different browser. If the issue continues, report it to the LMS support team."
What is the IUB Helpline Center contact number?,"The IUB Helpline Center can be contacted at 0346-9255555, 0347-9255555, or 062-9255580. The center assists with general university-related inquiries, including IT support and portal issues."
What is the attendance policy at IUB?,The university requires a minimum attendance percentage (usually 80%) for students to be eligible for the final exam. This policy is strictly enforced by the faculty. Check your course syllabus for the specific requirements for each course.
What is academic probation at IUB?,"Academic probation is a warning given to a student whose CGPA falls below the minimum required standard, typically 2.0. You will be on probation for a semester. If you fail to improve your CGPA, further action may be taken, including dismissal from the program."
What happens if I fail a course at IUB?,"If you fail a course, you will need to repeat it the next time it is offered. The failed grade will be included in your CGPA calculation, but your transcript will show both the failed grade and the repeat grade. You can only repeat a course once."
How can I check my graduation eligibility at IUB?,You can check your graduation eligibility by reviewing your academic record in the student portal. Your advisor can also help you track your progress towards completing the degree requirements. Contact the Registrar's Office for graduation application details.
How can I check my graduation eligibility at IUB?,You can check your graduation eligibility by reviewing your academic record in the student portal. Your advisor can also help you track your progress towards completing the degree requirements. A degree audit is available through the student portal.
What is the hostel fee for international students at IUB?,"IUB offers international students a hostel option with a standard menu for $500 and a special menu for $1,000 per semester. Contact the International Students Office for specific hostel fee details and availability."
What student societies are available at IUB?,"IUB has various student societies including academic societies, cultural societies, sports clubs, and special interest groups. The IUB Character Building Society and the Bazm-e-Iqbal Society are some of the active societies. Contact the Directorate of Students Affairs for a complete list of active societies."
How can I participate in sports at IUB?,"To participate in sports, approach the sports department or the relevant sports club at IUB. There are try-outs for university teams, and students can participate in various events throughout the year. The Directorate of Sports was established in 1976 to provide opportunities and facilities in Physical Education and Sports."
Does IUB have a sports department?,"Yes, IUB has a dedicated sports department that manages facilities and organizes inter-university and intra-university events. The Directorate of Sports was established in 1976 to provide opportunities and facilities in Physical Education and Sports for both male and female students."
What is the Women Empowerment Summit at IUB?,"The Women Empowerment Summit was organized by the IUB Character Building Society and the Directorate of Students Affairs at the Rahim Yar Khan Campus. The event included the NISA Award Ceremony, celebrating women's achievements and contributions to society."
How can I report a security concern at IUB?,"If you have a security concern, report it immediately to the hostel warden or the university security office. You can also register a formal complaint with the Directorate of Students Affairs. Security staff is available 24/7 at all campuses."
Where is the IUB Information Center located?,"The IUB Information Center is located in the basement of Sir Sadiq Muhammad Khan Library, Baghdad-ul-Jadeed Campus. It operates under the Directorate of Communication and Public Relations and provides general university information."
How many faculty members does IUB have?,"Currently, around 1800 teachers, including 550 PhDs, are serving at IUB. The Faculty of Chemical & Biological Sciences alone has 260 highly qualified faculty members."
Who is the current Vice Chancellor of IUB?,"Prof. Dr. Muhammad Kamran is the current Vice Chancellor of IUB. He assumed charge as regular Vice Chancellor on May 7, 2025. He holds a PhD in Computer Engineering from Beijing Institute of Technology, China."
Who is the Controller of Examinations at IUB?,The Controller of Examinations at IUB is Talib Hussain. The Examination Division can be contacted at 062-9250241 or via email at controller@iub.edu.pk for matters related to exams and transcripts.
What student societies are available at IUB?,"IUB has various student societies including the IUB Character Building Society, Bazm-e-Iqbal Society, Law Students Club, and academic societies for different departments. You can contact the Directorate of Students Affairs or visit the IUB website for a complete list of active societies and their contact information."
How can I participate in sports at IUB?,"To participate in sports, approach the sports department or the relevant sports club at IUB. There are try-outs for university teams, and students can participate in various events throughout the year. The Directorate of Sports organizes training camps and provides coaching facilities."
Where is the Khawaja Fareed Campus located?,The Khawaja Fareed Campus is located near Abbasia High School on Railway Road in Bahawalpur. It is a prime educational area and currently houses the Faculty of Pharmacy and the Faculty of Medicine and Allied Health Sciences.
What is the attendance policy at IUB?,The university requires a minimum attendance percentage (usually 80%) for students to be eligible for the final exam. This policy is strictly enforced. Parents can ask their child to share their attendance records through the student portal or IUB-LMS.
How can I get a duplicate degree certificate from IUB?,"Alumni can request a duplicate degree certificate from the Registrar's Office. You will need to submit a formal application, pay a fee, and provide a notification in a national newspaper regarding the lost certificate. Contact the Registrar's Office at 062-9250235 for the specific procedure."
How can I get a duplicate transcript from IUB?,Alumni can request a duplicate transcript from the Examination Division. You will need to submit a formal application and pay a fee. Contact the Examination Division at 062-9250241 or controller@iub.edu.pk for the specific procedure and fee amount.
Who is the current Vice Chancellor of IUB?,"Prof. Dr. Muhammad Kamran is the current Vice Chancellor of IUB. He assumed charge as regular Vice Chancellor on May 7, 2025. He holds a PhD in Computer Engineering from Beijing Institute of Technology, China. He previously served as Vice Chancellor of Muhammad Nawaz Sharif University of Engineering and Technology, Multan."
Who is the Controller of Examinations at IUB?,Talib Hussain has been appointed as the Regular Controller of Examinations at IUB. He received his appointment letter from Vice Chancellor Prof. Dr. Muhammad Kamran. The Examination Division can be contacted at 062-9250241 or controller@iub.edu.pk.
Who is the Dean of the Faculty of Arts and Languages at IUB?,Prof. Dr. Syed Amir Sohail is the Dean of the Faculty of Arts and Languages at IUB.
Who is the Dean of the Faculty of Chemical and Biological Sciences at IUB?,Prof. Dr. Muhammad Saleem is the Dean of the Faculty of Chemical and Biological Sciences at IUB.
Who is the Dean of the Faculty of Computing at IUB?,Prof. Dr. Dost Muhammad Khan is the Dean of the Faculty of Computing at IUB.
Who is the Dean of the Faculty of Engineering and Technology at IUB?,Prof. Dr. Muhammad Amjad is the Dean of the Faculty of Engineering and Technology at IUB.
Who is the Dean of the Faculty of Management Sciences and Commerce at IUB?,Prof. Dr. Jawad Iqbal is the Dean of the Faculty of Management Sciences and Commerce at IUB.
Who is the Dean of the Faculty of Medicine and Allied Health Sciences at IUB?,Prof. Dr. Qaiser Jabeen is the Dean of the Faculty of Medicine and Allied Health Sciences at IUB.
Who is the Dean of the Faculty of Pharmacy at IUB?,Prof. Dr. Qaiser Jabeen is the Dean of the Faculty of Pharmacy at IUB.
Who is the Dean of the Faculty of Physical and Mathematical Sciences at IUB?,Prof. Dr. Ghulam Mustafa is the Dean of the Faculty of Physical and Mathematical Sciences at IUB.
Who is the Dean of the Faculty of Social Sciences at IUB?,Prof. Dr. Rubina Bhatti is the Dean of the Faculty of Social Sciences at IUB.
Who is the Dean of the Faculty of Veterinary and Animal Sciences at IUB?,Prof. Dr. Muhammad Khalid Mansoor is the Dean of the Faculty of Veterinary and Animal Sciences at IUB.
