ticket_id,description,category,priority
PR-0026,"Respected Sir/Madam, i am escalating a critical complaint on behalf of my entire batch — none of our clearance requests have been processed for more than two months, and our convocation, requiring proof of clearance, is by tomorrow morning. Regards.",Complaint,Critical
PR-0027,"My thesis defense is by tomorrow morning and the portal will not let me download my approved supervisor sign-off, without which the committee will not allow me to defend. Please look into this.",Thesis,Critical
PR-0028,"Sir, is it possible to link two of my accounts together, or should I just keep using them separately?",Account & Login,Low
PR-0029,"Dear concerned team, my professional profile still shows outdated information even though I updated it over a week ago, and a scholarship committee is reviewing my profile in two days. Awaiting your response.",Profile Update,High
PR-0030,"Respected Sir/Madam, my salary has not been credited for a couple of days despite my department confirming approval, and I need this urgently to cover overdue expenses due today.",Employee Services,High
PR-0031,Kindly note: The notification bell on my dashboard shows a count but clicking it does not open any notifications. Please look into this.,Portal Technical Issue,Medium
PR-0032,"None of the 185 students in our batch can log in to the portal since last night, and today is the final date for exam form submission with no extension announced. Kindly advise.",Account & Login,Critical
PR-0033,"My admission abroad will be cancelled by tomorrow morning unless my degree name matches my passport exactly, and the correction request has been pending for several weeks despite the urgency I flagged. Thank you.",Name Correction,Critical
PR-0034,"My degree application shows 'Submitted' status even though I paid the challan a couple of days ago, and I would like to know if this is normal processing time. Kindly help.",Degree,Medium
PR-0035,"Dear concerned team, how many credit hours can I generally register for in a normal semester? Regards.",Course Registration,Low
PR-0036,"Hi, i want to complain that my previous ticket was closed without any resolution or explanation; could it be reopened?",Complaint,Medium
PR-0037,"Dear concerned team, my salary has not been credited for over a week despite my department confirming approval, and I need this urgently to cover overdue expenses due by tomorrow morning. Awaiting your response.",Employee Services,High
PR-0038,"Respected Sir/Madam, the paint on a corridor wall near the library is a little worn, just reporting it, not urgent at all. Thank you.",Infrastructure / Maintenance,Low
PR-0039,"Respected Sir/Madam, is there a student club focused on robotics that I could join? Kindly advise.",Other,Low
PR-0040,"Hi, the telephone line of the Library at Baghdad-ul-Jadeed Campus is not functioning, and this is adversely affecting the ongoing admission campaign whose deadline is within 24 hours. Kindly help.",Infrastructure / Maintenance,High
PR-0041,Kindly note: The Wi-Fi router in one of the blocks has been intermittent for several days; could it be checked? Thank you.,Infrastructure / Maintenance,Medium
PR-0042,"Dear concerned team, the entire university portal has been completely down for all students and staff since last night, and by Friday is the deadline for semester registration with no announced extension.",Portal Technical Issue,Critical
PR-0043,I would like to know how to request a change of campus from Rahim Yar Khan Campus to another campus. Kindly help.,Other,Medium
PR-0044,Kindly note: Could you correct my program preference on my admission application from BS Physical Education & Sports Sciences to BS Computer Science?,Admission,Medium
PR-0045,How many credit hours can I generally register for in a normal semester? Awaiting your response.,Course Registration,Low
PR-0046,How can I apply for degree collection once it's ready? Kindly help.,Degree,Low
PR-0047,"Hi, i am unable to update my biography and professional links on my profile page; the save button does not seem to work. Please look into this.",Profile Update,Medium
PR-0048,"Kindly note: I was awarded the scholarship shown on my portal, but I have not received any update on the disbursement schedule yet. Kindly help.",Scholarship,Medium
PR-0049,"Dear concerned team, my visa application will be rejected if I do not submit a verified degree equivalence certificate by this week, and the verification office has stopped responding entirely. Awaiting your response.",Certificate / Verification,Critical
PR-0050,How can I generate a new fee challan for the semester?,Fee & Challan,Low
PR-0051,"My degree verification request from a foreign employer has been pending response for several weeks, and my job offer is contingent on it being completed by by tomorrow morning.",Certificate / Verification,High
PR-0052,"Kindly note: The entire university portal has been completely down for all students and staff since last night, and this week is the deadline for semester registration with no announced extension. Regards.",Portal Technical Issue,Critical
PR-0053,"Kindly note: My salary has not been credited for over a week despite my department confirming approval, and I need this urgently to cover overdue expenses due tomorrow.",Employee Services,High
PR-0054,"Kindly note: I have a visa interview in two days and the embassy has specifically asked for my original transcript, which I still do not have despite requesting it almost two weeks ago.",Transcript,Critical
PR-0055,"Hi, i paid my semester fee of Rs. 22,000 on a couple of days ago and the amount was deducted from my account, but the portal still shows the challan as unpaid, and the late fee deadline is within 24 hours. Please look into this.",Fee & Challan,High
PR-0056,"Dear concerned team, i need a duplicate transcript copy as my original was misplaced. Could you guide me on the reissuance process? Awaiting your response.",Transcript,Medium
PR-0057,"Dear concerned team, has the result declaration date been finalized yet for this semester? Awaiting your response.",Result,Low
PR-0058,I would like to raise a complaint about receiving conflicting information from two different staff members regarding the same issue.,Complaint,Medium
PR-0059,"Kindly note: I am filing an urgent complaint that despite an official refund approval of Rs. 12,000 on record, the accounts office has still not released the funds, and I cannot pay this week's non-negotiable admission deadline fee without it. Awaiting your response.",Complaint,Critical
PR-0060,"The fee payment gateway on the portal is throwing a fatal error for every single student today, which is the last date for semester fee submission without penalty. Thank you.",Portal Technical Issue,Critical
PR-0061,"Dear concerned team, my admission abroad will be cancelled by tomorrow morning unless I submit my original degree, and it has been stuck in processing for nearly two months despite paying the urgent fee. Thank you.",Degree,Critical
PR-0062,"Sir, there is a spelling mistake in my name on my student portal record; my correct name is Ayesha Siddiqui. Could this be corrected? Awaiting your response.",Name Correction,Medium
PR-0063,"Respected Sir/Madam, my scholarship was suddenly cancelled without any notice and I have no funds to pay by tomorrow morning's fee deadline; if I don't pay today I will be dropped from the semester entirely. Thank you.",Scholarship,Critical
PR-0064,"Hi, i was awarded the scholarship shown on my portal, but I have not received any update on the disbursement schedule yet.",Scholarship,Medium
PR-0065,"The result module of the portal has been throwing a server error for a couple of days, and I cannot proceed with a task due within 24 hours. Kindly advise.",Portal Technical Issue,High
PR-0066,Kindly note: By mistake I applied for clearance under the wrong semester; could my clearance be reset so I can reapply correctly?,Clearance,Medium
PR-0067,"Kindly note: I have been awarded a compartment in Data Structures despite being confident I attempted the paper correctly, and I need urgent re-evaluation as it affects my scholarship eligibility review within 24 hours.",Examination,High
PR-0068,"Sir, how can I change the spelling of my name on my student ID card?",Name Correction,Low
PR-0069,What is the eligibility criteria for the merit-based scholarship? Thank you.,Scholarship,Low
PR-0070,"Respected Sir/Madam, my thesis file was rejected by the portal for an unspecified reason and the resubmission deadline is today.",Thesis,High
PR-0071,"Dear concerned team, i forgot my portal password and the reset link is not sending an OTP to my registered email; is there another way to reset it?",Account & Login,Medium
PR-0072,"Respected Sir/Madam, my semester fee challan is not showing on the portal; could you help me generate it so I can pay before the due date? Kindly advise.",Fee & Challan,Medium
PR-0073,"Respected Sir/Madam, my admission at a foreign university will be cancelled if I do not submit my original transcript by by Friday, and the transcript office has not responded to my repeated requests. Kindly advise.",Transcript,Critical
PR-0074,"Sir, small feedback: the waiting area could use a bit more seating, just a general comment. Kindly help.",Complaint,Low
PR-0075,Kindly note: Just wanted to confirm the standard leave application process for staff.,Employee Services,Low
PR-0076,"I am filing an urgent complaint that despite an official refund approval of Rs. 7,200 on record, the accounts office has still not released the funds, and I cannot pay tomorrow's non-negotiable admission deadline fee without it. Kindly advise.",Complaint,Critical
PR-0077,"Sir, my visa application will be rejected if I do not submit a verified degree equivalence certificate by tomorrow, and the verification office has stopped responding entirely. Please look into this.",Certificate / Verification,Critical
PR-0078,"Respected Sir/Madam, has the result declaration date been finalized yet for this semester? Please look into this.",Result,Low
PR-0079,"Sir, how can I generate a new fee challan for the semester? Please look into this.",Fee & Challan,Low
PR-0080,"Sir, i am filing an urgent complaint that despite an official refund approval of Rs. 26,400 on record, the accounts office has still not released the funds, and I cannot pay tomorrow's non-negotiable admission deadline fee without it.",Complaint,Critical
PR-0081,My comprehensive exam date is missing from my record; could this be updated so I can proceed with the next steps?,Examination,Medium
PR-0082,"Respected Sir/Madam, what is the usual turnaround time for certificate issuance? Please look into this.",Certificate / Verification,Low
PR-0083,My semester fee challan is not showing on the portal; could you help me generate it so I can pay before the due date? Kindly help.,Fee & Challan,Medium
PR-0084,"Today is the absolute last date for admission fee submission for MPhil Software Engineering, and the online payment gateway has been down since this morning for every single applicant on the merit list. Thank you.",Admission,Critical
PR-0085,What is the admission fee structure for BS Computer Science?,Admission,Low
PR-0086,"Dear concerned team, i am filing an urgent complaint that despite an official refund approval of Rs. 42,000 on record, the accounts office has still not released the funds, and I cannot pay today's non-negotiable admission deadline fee without it. Please look into this.",Complaint,Critical
PR-0087,"Sir, several months of ticket records and attached documents appear to have been permanently deleted from the system overnight with no backup available, affecting hundreds of open cases. Kindly help.",Portal Technical Issue,Critical
PR-0088,"Is there a mobile app version of the portal available, just curious? Awaiting your response.",Portal Technical Issue,Low
PR-0089,"Kindly note: My salary has not been credited for almost two weeks despite my department confirming approval, and I need this urgently to cover overdue expenses due today. Kindly help.",Employee Services,High
PR-0090,"My transcript request has been pending for a couple of days despite the fee being paid, and I need it for a scholarship submission by Friday. Thank you.",Transcript,High
PR-0091,"The entire university portal has been completely down for all students and staff since last night, and tomorrow is the deadline for semester registration with no announced extension.",Portal Technical Issue,Critical
PR-0092,Just wanted to confirm the standard leave application process for staff. Kindly advise.,Employee Services,Low
PR-0093,"I have been awarded a compartment in Database Systems despite being confident I attempted the paper correctly, and I need urgent re-evaluation as it affects my scholarship eligibility review this week. Please look into this.",Examination,High
PR-0094,The notification bell on my dashboard shows a count but clicking it does not open any notifications. Kindly advise.,Portal Technical Issue,Medium
PR-0095,"Dear concerned team, my contract renewal has not been processed and my current contract expires by tomorrow morning, putting my continued employment at risk.",Employee Services,High
PR-0096,Kindly note: There is a spelling mistake in my name on my student portal record; my correct name is Imran Sarwar. Could this be corrected? Kindly advise.,Name Correction,Medium
PR-0097,"Hi, my examination admit card is missing and my paper is scheduled for today; without it I may not be allowed to sit the exam. Thank you.",Examination,High
PR-0098,"Dear concerned team, could you guide me on the process to apply for a semester leave of absence for personal reasons? Kindly help.",Other,Medium
PR-0099,Is fee payable through mobile wallets or only through bank challan?,Fee & Challan,Low
PR-0100,"Respected Sir/Madam, i have a supply in Thermodynamics but the Course Repeat option does not show this subject; could it be enabled? Kindly advise.",Course Registration,Medium
PR-0101,"Sir, the fire alarm system across the entire Rahim Yar Khan Campus hostel block has stopped working, posing a serious safety risk to every resident student right now. Awaiting your response.",Infrastructure / Maintenance,Critical
PR-0102,"My HEC attestation appointment is within 24 hours and the university's online verification, which HEC is waiting on for dozens of applicants today, has still not been submitted for any of us. Kindly help.",Certificate / Verification,Critical
PR-0103,"Respected Sir/Madam, the examination portal has completely gone down while the final exam is currently being conducted live for hundreds of students, and no backup arrangement has been announced. Thank you.",Examination,Critical
PR-0104,"Respected Sir/Madam, my degree application shows 'Submitted' status even though I paid the challan over a week ago, and I would like to know if this is normal processing time. Awaiting your response.",Degree,Medium
PR-0105,"Respected Sir/Madam, my admission abroad will be cancelled this week unless I submit my original degree, and it has been stuck in processing for several weeks despite paying the urgent fee. Kindly advise.",Degree,Critical
PR-0106,"Sir, i am escalating a critical complaint on behalf of my entire batch — none of our clearance requests have been processed for over a month, and our convocation, requiring proof of clearance, is by Friday. Thank you.",Complaint,Critical
PR-0107,"The profile update system has been completely inaccessible for the entire batch for two days, and our internship documents due within 24 hours require an updated profile printout. Kindly advise.",Profile Update,Critical
PR-0108,"Dear concerned team, my department clearance is approved but the library clearance section still shows pending despite no outstanding books.",Clearance,Medium
PR-0109,"Small feedback: the waiting area could use a bit more seating, just a general comment.",Complaint,Low
PR-0110,"Dear concerned team, my examination is scheduled to start in less than an hour and the admit card generation system has been down for our entire session since early this morning.",Examination,Critical
PR-0111,My 6th semester result is not showing on the portal even though the declaration date has passed. Thank you.,Result,Medium
PR-0112,"My credit transfer approval, required by tomorrow morning to secure my admission abroad before their deadline expires, has still not been processed despite three urgent escalations this week. Kindly help.",Other,Critical
PR-0113,"Sir, i have a supply in English Composition but the Course Repeat option does not show this subject; could it be enabled? Thank you.",Course Registration,Medium
PR-0114,"Sir, the clearance module of the portal has been throwing a server error for over a week, and I cannot proceed with a task due tomorrow. Kindly help.",Portal Technical Issue,High
PR-0115,I forgot my portal password and the reset link is not sending an OTP to my registered email; is there another way to reset it? Regards.,Account & Login,Medium
PR-0116,"Respected Sir/Madam, how can employees generally check their leave balance? Kindly advise.",Employee Services,Low
PR-0117,"Respected Sir/Madam, the result declaration system crashed for the entire batch of 215 students just minutes before the scheduled announcement time, and everyone is waiting anxiously. Thank you.",Result,Critical
PR-0118,"My profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office by Friday, and I cannot correct it myself. Awaiting your response.",Profile Update,Critical
PR-0119,"Respected Sir/Madam, i would like to get my 'Financial Accounting' exam paper rechecked as I believe there may be a marking error. Regards.",Examination,Medium
PR-0120,"Kindly note: I have been awarded a compartment in Computer Architecture despite being confident I attempted the paper correctly, and I need urgent re-evaluation as it affects my scholarship eligibility review today.",Examination,High
PR-0121,"Dear concerned team, the examination portal has completely gone down while the final exam is currently being conducted live for hundreds of students, and no backup arrangement has been announced. Kindly advise.",Examination,Critical
PR-0122,"My credit transfer approval, required tomorrow to secure my admission abroad before their deadline expires, has still not been processed despite three urgent escalations this week.",Other,Critical
PR-0123,"Respected Sir/Madam, what is the process to request an official transcript copy in general? Awaiting your response.",Transcript,Low
PR-0124,My registered course list is missing one elective that I selected during registration week; could this be added back? Kindly help.,Course Registration,Medium
PR-0125,Course registration closes at midnight by tomorrow morning and the registration module has been throwing an error for every single student in my batch since this morning. Kindly help.,Course Registration,Critical
PR-0126,"Hi, my account shows an 'Access Restricted' message on the dashboard, though I can still use the mobile app in the meantime. Kindly advise.",Account & Login,Medium
PR-0127,Could you correct my program preference on my admission application from MBA to BS Mathematics? Please look into this.,Admission,Medium
PR-0128,"My result shows an F grade in Operating Systems that I'm confident is incorrect, and this is affecting my scholarship eligibility review scheduled by Friday. Kindly advise.",Result,High
PR-0129,"Hi, the result declaration system crashed for the entire batch of 360 students just minutes before the scheduled announcement time, and everyone is waiting anxiously. Kindly help.",Result,Critical
PR-0130,"Respected Sir/Madam, my thesis submission is blocked on the portal due to a missing field error, and my defense is scheduled within 24 hours. Regards.",Thesis,High
PR-0131,"Hi, could you guide me on the process to apply for a semester leave of absence for personal reasons?",Other,Medium
PR-0132,Could you confirm receipt of the documents I submitted for my degree equivalence certification? Thank you.,Certificate / Verification,Medium
PR-0133,Could a dark mode option be added to the profile page? It would be a nice addition.,Profile Update,Low
PR-0134,I need my final transcript urgently as I am applying for a Master's program abroad and the application portal closes this week. Regards.,Transcript,High
PR-0135,"Kindly note: None of the 145 students in our batch can log in to the portal since last night, and this week is the final date for exam form submission with no extension announced. Awaiting your response.",Account & Login,Critical
PR-0136,Where can I go to check which email is currently registered against my account? Thank you.,Account & Login,Low
PR-0137,"I need an official letter of recommendation urgently for a scholarship application closing within 24 hours, and my department has not responded to my request from about a week ago. Thank you.",Other,High
PR-0138,"There is an unusual, time-sensitive situation affecting hundreds of students across multiple departments that doesn't fit any specific category, and it needs immediate institutional attention by tomorrow morning. Awaiting your response.",Other,Critical
PR-0139,"Dear concerned team, i want to complain that my previous ticket was closed without any resolution or explanation; could it be reopened? Thank you.",Complaint,Medium
PR-0140,"Hi, could a dark mode option be added to the profile page? It would be a nice addition. Kindly help.",Profile Update,Low
PR-0141,What is the admission fee structure for MPhil Software Engineering? Thank you.,Admission,Low
PR-0142,"Dear concerned team, has the result declaration date been finalized yet for this semester? Thank you.",Result,Low
PR-0143,"Hi, what is the eligibility criteria for the merit-based scholarship? Kindly advise.",Scholarship,Low
PR-0144,"Sir, there is an unusual, time-sensitive situation affecting hundreds of students across multiple departments that doesn't fit any specific category, and it needs immediate institutional attention by Friday.",Other,Critical
PR-0145,I'd like to request re-generation of my degree fee challan as it was created under the wrong fee category. Regards.,Degree,Medium
PR-0146,"There is a clear discrepancy between my award list and my final result on the portal for 4 subjects, and I need this corrected before my transcript request within 24 hours. Kindly help.",Result,High
PR-0147,"Respected Sir/Madam, i would like to know how to request a change of campus from Baghdad-ul-Jadeed Campus to another campus. Kindly advise.",Other,Medium
PR-0148,"Respected Sir/Madam, my account shows an 'Access Restricted' message on the dashboard, though I can still use the mobile app in the meantime. Regards.",Account & Login,Medium
PR-0149,"Dear concerned team, when I open the transcript section on the portal it appears empty and does not load any data.",Portal Technical Issue,Medium
PR-0150,"Dear concerned team, i have already submitted my thesis but I am unable to check the current status because it shows a missing registration number error.",Thesis,Medium
PR-0151,"Respected Sir/Madam, could you confirm the status of my scholarship application submitted over a week ago? Please look into this.",Scholarship,Medium
PR-0152,Kindly note: My admission application fee was paid but the status still shows 'Pending Payment' on the portal. Kindly help.,Admission,Medium
PR-0153,My department clearance is approved but the library clearance section still shows pending despite no outstanding books. Kindly help.,Clearance,Medium
PR-0154,"Sir, i am unable to update my biography and professional links on my profile page; the save button does not seem to work. Regards.",Profile Update,Medium
PR-0155,"I am escalating a critical complaint on behalf of my entire batch — none of our clearance requests have been processed for over a month, and our convocation, requiring proof of clearance, is by Friday. Regards.",Complaint,Critical
PR-0156,"Dear concerned team, how many credit hours can I generally register for in a normal semester?",Course Registration,Low
PR-0157,I need an Enrollment Certificate for a scheme application; could this be issued at your earliest convenience? Kindly advise.,Certificate / Verification,Medium
PR-0158,"Dear concerned team, how long does the clearance approval usually take on average?",Clearance,Low
PR-0159,"Respected Sir/Madam, i am escalating a critical complaint on behalf of my entire batch — none of our clearance requests have been processed for over a month, and our convocation, requiring proof of clearance, is by tomorrow morning. Awaiting your response.",Complaint,Critical
PR-0160,Has the result declaration date been finalized yet for this semester? Regards.,Result,Low
PR-0161,"How can I request a bonafide certificate in general, just for future reference? Kindly help.",Certificate / Verification,Low
PR-0162,"Dear concerned team, my account keeps logging me out automatically every few minutes, which is a bit inconvenient when filling out forms. Thank you.",Account & Login,Medium
PR-0163,"Sir, is there a way to change my profile picture on the portal, just curious about the option? Thank you.",Profile Update,Low
PR-0164,"Dear concerned team, several months of ticket records and attached documents appear to have been permanently deleted from the system overnight with no backup available, affecting hundreds of open cases. Please look into this.",Portal Technical Issue,Critical
PR-0165,"Sir, my admission application fee was paid but the status still shows 'Pending Payment' on the portal.",Admission,Medium
PR-0166,"Hi, i have a supply in Financial Accounting but the Course Repeat option does not show this subject; could it be enabled? Awaiting your response.",Course Registration,Medium
PR-0167,"Respected Sir/Madam, my name mismatch between my degree and CNIC is the sole reason my HEC attestation, required in two days for a visa appointment, has been rejected. Please look into this.",Name Correction,Critical
PR-0168,"Dear concerned team, by mistake I applied for clearance under the wrong semester; could my clearance be reset so I can reapply correctly? Kindly advise.",Clearance,Medium
PR-0169,"Sir, how many credit hours can I generally register for in a normal semester? Kindly advise.",Course Registration,Low
PR-0170,"I am formally complaining about a delay of more than two months in processing my transcript request despite multiple follow-ups, and I now have a hard deadline this week. Thank you.",Complaint,High
PR-0171,"Hi, what documents are generally required for the final clearance process? Regards.",Clearance,Low
PR-0172,"Dear concerned team, i was declared eligible on the merit list for BS Mathematics but my admission fee challan is not generating, and by tomorrow morning is the last date to pay and confirm my seat. Awaiting your response.",Admission,High
PR-0173,"Hi, i would like to request my monthly payslip copies for the last few months for my personal records. Awaiting your response.",Employee Services,Medium
PR-0174,"Kindly note: My profile shows a completely wrong CNIC that is blocking my degree attestation submission, which is due at the HEC office tomorrow, and I cannot correct it myself.",Profile Update,Critical
PR-0175,I need my final transcript urgently as I am applying for a Master's program abroad and the application portal closes today. Please look into this.,Transcript,High
PR-0176,"Dear concerned team, my contract renewal has not been processed and my current contract expires by Friday, putting my continued employment at risk. Kindly advise.",Employee Services,High
PR-0177,"Sir, my scholarship was suddenly cancelled without any notice and I have no funds to pay in two days's fee deadline; if I don't pay today I will be dropped from the semester entirely.",Scholarship,Critical
PR-0178,"Sir, my department clearance is approved but the library clearance section still shows pending despite no outstanding books. Kindly advise.",Clearance,Medium
PR-0179,"Hi, what is the process to request an official transcript copy in general? Kindly help.",Transcript,Low
PR-0180,"Respected Sir/Madam, i have been awarded a compartment in Financial Accounting despite being confident I attempted the paper correctly, and I need urgent re-evaluation as it affects my scholarship eligibility review within 24 hours. Please look into this.",Examination,High
PR-0181,"Kindly note: A major water leakage has flooded part of the server room at Bahawalpur City Campus, threatening to permanently damage critical IT infrastructure for the whole university. Please look into this.",Infrastructure / Maintenance,Critical
PR-0182,"Dear concerned team, what is the eligibility criteria for the merit-based scholarship?",Scholarship,Low
PR-0183,"Respected Sir/Madam, my registration hold has still not been cleared despite clearing all dues weeks ago, and by Friday is the absolute last day to register, after which I will lose the entire semester.",Course Registration,Critical
PR-0184,"Respected Sir/Madam, the entire university portal has been completely down for all students and staff since last night, and tomorrow is the deadline for semester registration with no announced extension.",Portal Technical Issue,Critical
PR-0185,"Sir, i am writing on behalf of the entire batch of BS Agriculture scholarship recipients — none of us have received our final installment for over two years, and several of us cannot complete clearance for graduation because of it. Awaiting your response.",Scholarship,Critical
PR-0186,"My transcript request has been pending for over a week despite the fee being paid, and I need it for a scholarship submission this week. Thank you.",Transcript,High
PR-0187,"Sir, the thesis submission deadline is this week at midnight and the upload button has been completely non-functional for our entire batch since this afternoon. Awaiting your response.",Thesis,Critical
PR-0188,What is the normal degree processing time for BS Computer Science graduates?,Degree,Low
PR-0189,"I updated my profile with my new degree information required for a job application deadline by tomorrow morning, but the changes are not being saved by the portal at all. Thank you.",Profile Update,High
PR-0190,"Respected Sir/Madam, my visa application will be rejected if I do not submit a verified degree equivalence certificate by in two days, and the verification office has stopped responding entirely. Please look into this.",Certificate / Verification,Critical
PR-0191,One of my course results is missing from my transcript page while the rest are showing correctly. Thank you.,Result,Medium
PR-0192,"I am formally complaining about a delay of nearly two months in processing my clearance request despite multiple follow-ups, and I now have a hard deadline this week. Awaiting your response.",Complaint,High
PR-0193,"The main student database appears to be corrupted, and records for an entire batch of 367 students are showing blank or missing fields across every module. Regards.",Portal Technical Issue,Critical
PR-0194,"Dear concerned team, the entire fee payment gateway has been down since last night for all students, and in two days is the final date to submit semester fees without a late fine. Thank you.",Fee & Challan,Critical
PR-0195,"Kindly note: My HEC attestation appointment is by tomorrow morning and the university's online verification, which HEC is waiting on for dozens of applicants today, has still not been submitted for any of us. Thank you.",Certificate / Verification,Critical
PR-0196,"Kindly note: The clearance module of the portal has been throwing a server error for about a week, and I cannot proceed with a task due this week. Please look into this.",Portal Technical Issue,High
PR-0197,"Dear concerned team, my contract renewal has not been processed and my current contract expires tomorrow, putting my continued employment at risk.",Employee Services,High
PR-0198,"I was awarded the scholarship shown on my portal, but I have not received any update on the disbursement schedule yet. Regards.",Scholarship,Medium
PR-0199,"My login access to a system I need for essential work was suddenly revoked, and I have a task depending on it due this week.",Account & Login,High
PR-0200,"Sir, what is the usual turnaround time for certificate issuance? Regards.",Certificate / Verification,Low
PR-0201,"Respected Sir/Madam, the fee payment gateway on the portal is throwing a fatal error for every single student today, which is the last date for semester fee submission without penalty. Kindly advise.",Portal Technical Issue,Critical
PR-0202,"Our entire class's clearance requests have been frozen due to a system error, blocking all 217 of us from collecting our degrees before by tomorrow morning's convocation. Regards.",Clearance,Critical
PR-0203,My examination admit card is missing and my paper is scheduled for tomorrow; without it I may not be allowed to sit the exam.,Examination,High
PR-0204,"Respected Sir/Madam, my admission application fee was paid but the status still shows 'Pending Payment' on the portal. Regards.",Admission,Medium
PR-0205,"Sir, my admission abroad will be cancelled by Friday unless my degree name matches my passport exactly, and the correction request has been pending for several months despite the urgency I flagged. Kindly advise.",Name Correction,Critical
PR-0206,"Hi, what documents are generally required for the final clearance process?",Clearance,Low
PR-0207,"Dear concerned team, my result shows an F grade in English Composition that I'm confident is incorrect, and this is affecting my scholarship eligibility review scheduled by tomorrow morning. Please look into this.",Result,High
PR-0208,"Sir, my admission abroad will be cancelled by Friday unless I submit my original degree, and it has been stuck in processing for more than two months despite paying the urgent fee. Thank you.",Degree,Critical
PR-0209,My comprehensive exam date is missing from my record; could this be updated so I can proceed with the next steps? Thank you.,Examination,Medium
PR-0210,I would like to raise a complaint about receiving conflicting information from two different staff members regarding the same issue. Kindly advise.,Complaint,Medium
PR-0211,When is the next semester result usually announced?,Result,Low
PR-0212,"Respected Sir/Madam, my thesis submission is blocked on the portal due to a missing field error, and my defense is scheduled by Friday. Please look into this.",Thesis,High
PR-0213,"How can I request a bonafide certificate in general, just for future reference? Regards.",Certificate / Verification,Low
PR-0214,"Could you tell me the general process to change the username linked to my profile, no rush on this? Awaiting your response.",Account & Login,Low
PR-0215,"Hi, just wanted to confirm the general thesis submission format guidelines. Awaiting your response.",Thesis,Low
PR-0216,"Sir, my degree verification request from a foreign employer has been pending response for nearly two months, and my job offer is contingent on it being completed by today. Please look into this.",Certificate / Verification,High
PR-0217,"Sir, the entire fee payment gateway has been down since last night for all students, and this week is the final date to submit semester fees without a late fine. Kindly help.",Fee & Challan,Critical
PR-0218,Kindly note: Just wanted to confirm the general examination fee amount for this term. Regards.,Examination,Low
