question,answer,status
I have a complaint about hostel security.,"Your safety is a priority. If you have a security concern, report it immediately to the hostel warden or the university security office. You can also register a formal complaint with the Directorate of Students Affairs.",BEST_ANSWER_SELECTED
How can I get a library membership?,"All registered students are automatically members of the university library. You can use your student ID card to borrow books. If you need to renew your membership, contact the library helpdesk.",BEST_ANSWER_SELECTED
Where is the main library located?,The central library of The Islamia University of Bahawalpur is located on the main campus. You can find its exact location on the campus map on the IUB website.,BEST_ANSWER_SELECTED
How many books can I borrow from the library?,"The number of books you can borrow depends on your student status and the library's borrowing policy. Usually, you can borrow a certain number of books for a specific time period. Check the library rules for exact limits.",BEST_ANSWER_SELECTED
Is there a digital library?,"Yes, IUB has a digital library that provides access to online journals, e-books, and databases. You can access it from the university website using your student ID and password.",BEST_ANSWER_SELECTED
How do I access the digital library?,Log in to the IUB website and navigate to the digital library section. You may need to use your student portal credentials to get access to all the online resources and databases.,BEST_ANSWER_SELECTED
I lost my student ID card. What should I do?,Immediately report a lost ID card to the relevant office (usually the Directorate of Students Affairs or the Registrar's office). You will need to fill out an application and pay a fee for a replacement card.,BEST_ANSWER_SELECTED
How can I get a replacement ID card?,"To get a replacement ID card, submit a written application to the Registrar's office or the office responsible for issuing ID cards. You will also need to pay the prescribed fee and provide a recent photograph.",BEST_ANSWER_SELECTED
I have been harassed by someone on campus. What do I do?,IUB has a strict anti-harassment policy. You should immediately report the incident to the Anti-Harassment Committee or the Directorate of Students Affairs. Your complaint will be handled confidentially.,BEST_ANSWER_SELECTED
Where can I file a discrimination complaint?,You can file a discrimination complaint with the Anti-Harassment Committee or the relevant administrative authority. The process is confidential. Visit the official IUB website for the grievance procedure.,BEST_ANSWER_SELECTED
How do I register a student complaint?,You can register a complaint by filling out a form at the Directorate of Students Affairs or by sending a formal email to the designated office. Some complaints can also be filed through the student portal.,BEST_ANSWER_SELECTED
What are the rules about plagiarism?,"Plagiarism is a serious academic offense at IUB. It can lead to severe penalties including a zero grade, suspension, or even expulsion. All students are required to submit original work and cite sources properly.",BEST_ANSWER_SELECTED
How can I avoid plagiarism in my assignments?,"To avoid plagiarism, always cite your sources and use quotation marks for direct quotes. You can also use a plagiarism checker to review your work before submission. Consult the university's academic integrity policy for detailed guidelines.",BEST_ANSWER_SELECTED
Where can I find my course's syllabus?,"The syllabus for each course is usually available on IUB-LMS or can be requested from the course instructor. It provides information about the course outline, learning objectives, and grading policy.",BEST_ANSWER_SELECTED
What is the attendance policy at IUB?,The university requires a minimum attendance percentage (usually 80%) for students to be eligible for the final exam. This policy is strictly enforced by the faculty. Check your course syllabus for the specific requirements.,BEST_ANSWER_SELECTED
I am going to miss a class due to an emergency. What should I do?,"Inform your respective course instructor in advance if possible. The final decision on accepting your absence rests with the instructor. For absences beyond a limit, a medical certificate or other valid documents may be required.",BEST_ANSWER_SELECTED
How can I check my attendance?,You can check your attendance record on your IUB-LMS account or on the departmental notice board. Many instructors also provide this information directly to students.,BEST_ANSWER_SELECTED
What should I do if my professor doesn't respond to my emails?,"If your professor hasn't responded, first wait for a reasonable time (e.g., 2-3 working days). If they still don't respond, you can contact the department head or the office of the chairperson for assistance.",BEST_ANSWER_SELECTED
How do I contact my department office?,You can find the contact information for your department office on the IUB website. They are typically open during regular university working hours. You can also visit the department building on campus.,BEST_ANSWER_SELECTED
How can I get my transcript?,You can apply for your transcript through the Registrar's office. The procedure and fee schedule are available on the IUB website. Fill out the transcript request form and submit it along with the required fee.,BEST_ANSWER_SELECTED
What is the procedure to get an enrollment certificate?,"To obtain an enrollment certificate, submit a request to the Registrar's office. This certificate is required for scholarships, visas, or other official purposes. Check the university's website for the specific form and fee.",BEST_ANSWER_SELECTED
I have completed my degree. How do I get my degree certificate?,Degree certificates are issued by the Registrar's office after the final results are announced and after you have cleared all your dues. You will need to apply for it and pay the applicable fee.,BEST_ANSWER_SELECTED
How long does it take to get a degree certificate?,"The processing time for degree certificates varies. The university will announce when certificates are ready for collection. For a specific time frame, it is best to check with the Registrar's office directly.",BEST_ANSWER_SELECTED
Where can I get a character certificate?,"Character certificates are issued by the Directorate of Students Affairs. You need to submit a formal application, and the certificate is usually issued within a few working days.",BEST_ANSWER_SELECTED
How do I obtain a No Dues certificate?,"A No Dues certificate is issued after you clear all your financial and other obligations with the university. You must visit various offices (e.g., library, hostel, finance) to get signatures and then submit the form to the Registrar.",BEST_ANSWER_SELECTED
I am an international student. What special documents do I need?,"International students require a valid student visa, passport, and NOC from their home country. You should contact the International Students Office at IUB for a complete list of required documents and guidance.",BEST_ANSWER_SELECTED
How do I apply for a leave of absence?,"To apply for a leave of absence, you must submit a formal written request to the Chairperson of your department and the Registrar's office. Your application will be reviewed and approved based on your academic standing.",BEST_ANSWER_SELECTED
What is the refund policy for tuition fees?,The tuition fee refund policy is governed by university rules. The amount and conditions of a refund vary depending on the date of withdrawal. You must check the official IUB policy or contact the Treasurer's office for details.,BEST_ANSWER_SELECTED
I need an NOC from the university. What is the process?,A No Objection Certificate (NOC) can be obtained from the Registrar's office. You will need to submit a written application stating the purpose of the NOC. The office will process it after verifying your record.,BEST_ANSWER_SELECTED
How do I verify my documents at IUB?,Document verification is handled by the Registrar's office or the admission department. You need to submit your original documents along with photocopies. They will verify and attest them if they are found authentic.,BEST_ANSWER_SELECTED
What are my rights as an IUB student?,"Students have the right to a fair learning environment, access to academic resources, and freedom from harassment. The student handbook, available on the IUB website, outlines all student rights and responsibilities in detail.",BEST_ANSWER_SELECTED
What are the responsibilities of a student?,"Student responsibilities include following university rules, maintaining academic integrity, respecting others, and regularly paying tuition fees. Details are available in the university's code of conduct.",BEST_ANSWER_SELECTED
Where can I get counselling or student support?,"The university offers student support services, including academic and psychological counselling. You can contact the Department of Psychology or the Directorate of Students Affairs to book an appointment.",BEST_ANSWER_SELECTED
Is there support for students with disabilities?,"Yes, IUB is committed to providing accessibility. Contact the Directorate of Students Affairs or the department head to request specific accommodations. They will guide you through the process for disability support.",BEST_ANSWER_SELECTED
How can I join a student society?,A list of student societies is often available on the IUB website or through the Directorate of Students Affairs. You can contact the society's president or coordinator to inquire about membership.,BEST_ANSWER_SELECTED
Does IUB have a sports department?,"Yes, IUB has a dedicated sports department that manages facilities and organizes inter-university and intra-university events. You can find more information on the IUB website or by visiting the sports office.",BEST_ANSWER_SELECTED
How can I participate in sports?,"To participate, approach the sports department or the relevant sports club at IUB. There are try-outs for university teams, and students can participate in various events throughout the year.",BEST_ANSWER_SELECTED
Are there research opportunities for students?,"Yes, many departments offer research opportunities. Contact your department head or a faculty member whose research interests you to inquire about available positions and projects.",BEST_ANSWER_SELECTED
How do I find a research supervisor?,"To find a research supervisor, identify faculty members working in your area of interest. You can approach them via email or during their office hours. It is advisable to share your CV and research proposal with them.",BEST_ANSWER_SELECTED
How can I get an internship?,The Career Counselling Center or your department may announce internship opportunities. You should also search online and use professional networks. Some degree programs also include mandatory internships.,BEST_ANSWER_SELECTED
What career guidance does IUB offer?,"IUB offers career guidance through seminars, workshops, and the Career Counselling Center. You can get help with resume writing, interview preparation, and job placement. Check the website for upcoming events.",BEST_ANSWER_SELECTED
Can I get a job on campus?,On-campus jobs are limited and are usually announced by the relevant department or the Placement Office. You can check with your department or the human resources office for available opportunities.,BEST_ANSWER_SELECTED
How do I get to the Baghdadul Jadeed Campus?,The Baghdadul Jadeed Campus is a major campus of IUB. You can find the exact address and directions on the IUB website's campus map. There are public transport options available to reach there.,BEST_ANSWER_SELECTED
Where are the administrative offices located?,"The main administrative offices, including the Registrar and Treasurer, are usually located in the main administrative block on the main campus. Consult the campus map on the IUB website for specific locations.",BEST_ANSWER_SELECTED
I need to use the university's Wi-Fi. How do I connect?,IUB provides Wi-Fi for students across the campus. You need to register your device and use your student portal credentials to log in. IT support can help you with connection issues.,BEST_ANSWER_SELECTED
I can't connect to the IUB Wi-Fi.,"First, ensure you are within the Wi-Fi coverage area and that you are entering your correct student ID and password. If you still cannot connect, restart your device. For persistent issues, contact the IT Help Desk.",BEST_ANSWER_SELECTED
How do I get an official IUB email address?,Your official IUB email address is automatically created upon admission. Your login credentials are provided to you. You can access it via the university's webmail portal.,BEST_ANSWER_SELECTED
Where can I find the university's contact number?,"The general contact numbers for IUB are listed on the official website's 'Contact Us' page. Please use these official channels for any inquiries, and do not rely on third-party sources.",BEST_ANSWER_SELECTED
I have a query about fee challans.,"Fee challans are generated and downloaded from your student portal. Ensure you are using the latest challan form. If you face any technical issues, contact the Treasurer's office or the IT Help Desk.",BEST_ANSWER_SELECTED
Where can I pay my fee?,You can pay your semester fee at designated bank branches using the challan form from your portal. Some online payment options might also be available. Please check the official fee notice for the current process.,BEST_ANSWER_SELECTED
I missed the fee deadline. What will happen?,"Missing the fee deadline will result in a late fee being charged. It may also put a financial hold on your account, preventing you from accessing your results or registering for the next semester. Contact the Treasurer's office immediately.",BEST_ANSWER_SELECTED
Can I get a fee discount?,"Fee discounts are not widely available. Certain scholarships or financial assistance programs may provide support. For any fee concessions, you must contact the Financial Aid Office or Treasurer's Office directly.",BEST_ANSWER_SELECTED
What is a financial hold?,"A financial hold is placed on your student account if you have unpaid fees. It prevents you from registering for courses, accessing your transcript, and viewing your results. You must clear all outstanding dues to have the hold removed.",BEST_ANSWER_SELECTED
How can I check the campus events schedule?,The schedule for events and activities is often posted on the IUB website and on departmental notice boards. The Directorate of Students Affairs also coordinates many student events.,BEST_ANSWER_SELECTED
How do I apply for a No Dues certificate after graduation?,"Submit a No Dues application form, which is available at the Registrar's office or on the IUB website. You must get it signed from all relevant departments (Library, Hostel, Finance, etc.) before the certificate is issued.",BEST_ANSWER_SELECTED
I am having trouble logging into the student portal.,"Please ensure you are using the correct username and password. Try clearing your browser's cache. If the issue persists, use the 'Forgot Password' feature. If you are still locked out, contact the IUB IT Help Desk.",BEST_ANSWER_SELECTED
My IUB student account is locked.,"Your account may lock after several failed login attempts. It will usually auto-unlock after a period of time. For an immediate solution, please contact the IUB IT Help Desk to reset your credentials.",BEST_ANSWER_SELECTED
How do I change my department?,Changing your department or program is a significant change. You need to submit a formal application and meet the eligibility criteria for the new program. Check the academic regulations on the IUB website or consult the Registrar's office.,BEST_ANSWER_SELECTED
What is the procedure for an internship in my program?,Many degree programs include an internship component. Your department will guide you on the prerequisites and the process for securing an internship. You can also seek guidance from the Career Counselling Center.,BEST_ANSWER_SELECTED
Is it mandatory to get an internship for graduation?,Some professional degree programs require an internship for completion. This is a degree requirement as specified in your program's curriculum. Check your course outline or consult your advisor for details.,BEST_ANSWER_SELECTED
How do I get a study leave?,Study leave is usually granted to students who need time off for their own academic or personal reasons. You must apply to your department head with a valid reason and a study plan.,BEST_ANSWER_SELECTED
My grade is lower than expected. What should I do?,"First, review your exam paper and discuss it with your course instructor. If you believe there has been a grading error, you can follow the official grade appeal process outlined by the university.",BEST_ANSWER_SELECTED
How do I apply for a scholarship?,"Scholarships are announced via the IUB website. The application process involves filling out an online form and submitting relevant documents, such as your academic record and financial status. Check the financial aid office for details.",BEST_ANSWER_SELECTED
Are there any scholarships for postgraduate students?,"Yes, IUB offers a number of scholarships and financial aid programs for postgraduate students. Visit the IUB website or contact the financial aid office for a detailed list and eligibility criteria.",BEST_ANSWER_SELECTED
I have a financial emergency and can't pay my fees on time.,You should immediately contact the financial aid office or the Treasurer's office to discuss your situation. They can provide information about emergency loans or the possibility of a payment plan.,BEST_ANSWER_SELECTED
Where do I go for IT support?,"The IUB IT Help Desk is the primary point of contact for all IT-related issues, including portal and LMS problems. Their office location and contact details are available on the university website.",BEST_ANSWER_SELECTED
How can I use the digital library?,"Log in to your IUB account on the university website and navigate to the digital library section. There, you can search for journals, e-books, and academic databases using your student credentials.",BEST_ANSWER_SELECTED
How do I check my library account?,"You can check your library account online by logging in with your student ID. It will show you the books you have borrowed, due dates, and any fines. The library website has a direct login portal.",BEST_ANSWER_SELECTED
Can I borrow books from other university libraries?,IUB has an interlibrary loan service. You can request books from other libraries by making a formal request to your main library. Contact the library staff for the interlibrary loan policy and procedure.,BEST_ANSWER_SELECTED
How can I get a book that is not available in our library?,"You can request a book through the library's acquisition or interlibrary loan service. Submit a request to the librarian, who can check availability in other libraries or recommend a purchase.",BEST_ANSWER_SELECTED
What is the fee for a replacement ID card?,"The fee for a replacement ID card is set by the university. For the latest fee amount, please contact the Registrar's office. The fee must be paid before a new card is issued.",BEST_ANSWER_SELECTED
How long will it take to get a replacement ID card?,Processing times for replacement ID cards may vary. Check with the Registrar's office for the current estimated processing time after you have submitted your application and fee.,BEST_ANSWER_SELECTED
I lost my student card. Can I get a temporary one?,A temporary ID card may be issued for a short period at the discretion of the relevant office. Visit the Registrar's or Students Affairs office to inquire about a temporary card while your permanent one is being processed.,BEST_ANSWER_SELECTED
Where can I get my documents attested?,The Registrar's office is the authorized office for document attestation at IUB. Bring your original documents and photocopies. They will verify the documents and stamp them as per the university policy.,BEST_ANSWER_SELECTED
How can I get an NOC for a passport or visa?,Submit a written application to the Registrar's office with the required details. They will issue the NOC after verifying your student status and ensuring there are no financial or disciplinary holds against you.,BEST_ANSWER_SELECTED
What is the policy on attendance?,The university policy mandates a minimum of 80% attendance in each course to be eligible for the final exam. Exceptions are only made in extreme cases with official documentation.,BEST_ANSWER_SELECTED
I am sick and cannot attend classes.,"Inform your instructor as soon as possible and provide a medical certificate. If you are absent for more than a few days, you should also inform the department office. The policy regarding sick leave is at the discretion of the department.",BEST_ANSWER_SELECTED
I am facing academic difficulties. What support is available?,"IUB provides academic support through tutoring services, academic advising, and counseling. Contact your academic advisor or the Directorate of Students Affairs to be connected with the right resources.",BEST_ANSWER_SELECTED
Where can I find the university's examination regulations?,The examination regulations are published on the IUB website and in the student handbook. These regulations cover everything from exam conduct to grading policies. Download the PDF from the official exam section.,BEST_ANSWER_SELECTED
How do I change my contact information in the university system?,You can update your contact information through your student portal. This is crucial to ensure you receive all university notifications via SMS and email.,BEST_ANSWER_SELECTED
"The university sent me an email, but I didn't receive it.","Check your spam or junk folder. If it's not there, log into your official IUB email account directly through the portal. If you still don't see it, contact the IT Help Desk to ensure your email is working correctly.",BEST_ANSWER_SELECTED
Can I use my personal email instead of the university email?,"All official university communications are sent to your official IUB email address. You are required to check this email regularly. You can, however, set up forwarding to your personal email from the university webmail settings.",BEST_ANSWER_SELECTED
How do I know if my document is attested?,Attestation is usually confirmed by a stamp and signature from the competent authority on your document. The Registrar's office is the only office authorized to attest official documents.,BEST_ANSWER_SELECTED
Where can I find the hostel rules?,The hostel rules are provided to you at the time of admission to the hostel. You can also request a copy from the hostel warden or download it from the IUB website if available.,BEST_ANSWER_SELECTED
The hostel room is not clean.,Report any cleanliness issues to the hostel warden or the sanitation staff. You are also expected to keep your own room clean. Regular inspections may be carried out.,BEST_ANSWER_SELECTED
How can I get involved in a research project?,Discuss your interest with your professors. They may have ongoing projects or know of opportunities. Many departments have a research committee that can guide you on how to get involved.,BEST_ANSWER_SELECTED
I am facing a language barrier.,The university offers support for students with language difficulties. You can reach out to your department or the Directorate of Students Affairs to be connected with language labs or tutoring resources.,BEST_ANSWER_SELECTED
Can I postpone my exams?,"Postponing an exam is generally not allowed except in cases of a major emergency. To request a postponement, you must provide a very valid reason and official documentation to the controller of examinations.",BEST_ANSWER_SELECTED
I want to apply for a scholarship for next semester.,Scholarship applications are usually online through the student portal during a specific application period. Keep an eye on the IUB website for the announcement and the deadline for the next semester.,BEST_ANSWER_SELECTED
How can I get a road permit for my vehicle?,Students who wish to bring their own vehicle to campus must obtain a road permit. Contact the transport or security office on campus for the application form and the applicable fee.,BEST_ANSWER_SELECTED
What is the timing of the university shuttle service?,The university shuttle bus schedule can be found on the IUB website or by contacting the transport office. It is a paid service with designated routes and pick-up points.,BEST_ANSWER_SELECTED
I want to study abroad. What should I do?,You should contact the Directorate of Students Affairs or the office responsible for student exchange programs. They can provide information about available exchange agreements and the application procedure.,BEST_ANSWER_SELECTED
How can I get a character certificate from the university?,Apply to the Directorate of Students Affairs with a formal application. They will issue a certificate after verifying your academic and disciplinary record. This certificate is often used for job applications.,BEST_ANSWER_SELECTED
I want to withdraw from the university. What is the procedure?,"Formal withdrawal from the university requires submitting an application to the Registrar's office. You must also obtain clearance from all departments, including the library and hostel, before your withdrawal is finalized.",BEST_ANSWER_SELECTED
Where can I find past exam papers?,Some departments make past papers available for practice. You can request them from your department library or from the course instructor. The digital library may also have them.,BEST_ANSWER_SELECTED
I have a problem with the LMS not loading.,"Try refreshing the page or using a different browser. If the LMS is not loading, it may be due to high traffic or maintenance. Contact the IUB IT Help Desk if the issue persists.",BEST_ANSWER_SELECTED
I forgot my LMS password.,"The LMS password is usually the same as your student portal password. Reset your student portal password and it will sync with your LMS account. If the issue continues, contact the IUB IT Help Desk.",BEST_ANSWER_SELECTED
